#{"t_start": 1775121136.9829605, "env_id": "None"}
r,l,t
1174.0,200,25.935487
960.0,175,26.248254
808.0,153,26.512279
1215.0,200,26.899263
552.0,102,27.120989
64.0,13,27.151573
-9.0,11,27.17063
1200.0,200,27.551574
-9.0,3,27.56068
1157.0,200,27.922997
1199.0,200,28.287822
1178.0,200,28.661611
726.0,125,28.890234
1207.0,200,29.241498
411.0,68,29.365745
135.0,31,29.428319
-6.0,2,29.433316
39.0,8,29.451502
199.0,33,29.505716
1203.0,200,29.91065
803.0,144,30.173077
-25.0,4,30.17861
32.0,8,30.193145
1201.0,200,30.573339
1195.0,200,31.039633
11.0,8,31.06623
1.0,2,31.070263
3.0,18,31.179783
1113.0,200,31.910164
-15.0,1,31.911163
491.0,74,32.211688
6.0,4,32.229799
-7.0,6,32.245866
-15.0,1,32.247892
1.0,8,32.272954
30.0,15,32.327211
31.0,5,32.340772
-4.0,3,32.352316
0.0,8,32.379943
-25.0,3,32.394501
-15.0,1,32.397025
-14.0,5,32.412577
169.0,27,32.493916
93.0,14,32.538599
60.0,17,32.585728
41.0,9,32.609314
15.0,13,32.648454
54.0,12,32.67804
-15.0,10,32.707619
84.0,14,32.744204
16.0,12,32.772784
28.0,14,32.803383
6.0,4,32.813921
-4.0,3,32.822436
-13.0,3,32.824435
-15.0,1,32.830955
-15.0,1,32.832954
-9.0,1,32.833954
-15.0,4,32.84406
-19.0,3,32.852605
21.0,4,32.861147
31.0,12,32.891737
-5.0,2,32.893743
964.0,169,33.255626
-2.0,1,33.257185
642.0,108,33.479851
-5.0,6,33.487375
1198.0,200,33.886013
1148.0,200,34.26465
716.0,124,34.488878
1214.0,200,34.86894
1203.0,200,35.228881
-10.0,5,35.242919
1173.0,200,35.603177
1163.0,200,36.041172
-18.0,11,36.06423
1205.0,200,36.466428
13.0,28,36.517081
90.0,15,36.542615
-4.0,17,36.574158
1209.0,200,36.948024
6.0,2,36.953024
-19.0,5,36.960549
10.0,5,36.967076
604.0,113,37.179994
1150.0,200,37.532871
565.0,104,37.721171
1174.0,200,38.239159
-15.0,1,38.241681
864.0,154,38.546338
1194.0,200,38.914054
1110.0,200,39.260324
455.0,86,39.411829
1240.0,200,39.786312
-24.0,7,39.799859
0.0,1,39.80086
1186.0,200,40.168205
-8.0,8,40.186229
-7.0,1,40.187236
168.0,30,40.250109
1203.0,200,40.652628
26.0,36,40.735497
184.0,32,40.793002
640.0,110,40.996292
11.0,11,41.025495
1166.0,200,41.432633
365.0,67,41.596078
345.0,56,41.72474
-15.0,1,41.726254
21.0,10,41.742819
22.0,11,41.772942
58.0,15,41.812063
11.0,3,41.821605
66.0,15,41.852547
-15.0,1,41.858912
683.0,118,42.118138
-14.0,2,42.12565
1063.0,200,42.603375
1114.0,200,43.064774
1117.0,200,43.626699
44.0,8,43.648505
1171.0,200,44.117558
1147.0,200,44.554319
11.0,6,44.565351
292.0,54,44.669805
499.0,89,44.862572
20.0,7,44.883625
1136.0,200,45.300678
851.0,139,45.580872
1175.0,200,45.99378
-15.0,4,45.999306
384.0,68,46.107629
833.0,145,46.464539
1212.0,200,46.891726
1136.0,200,47.379708
241.0,40,47.480498
0.0,16,47.518625
1212.0,200,47.956263
1119.0,200,48.459838
69.0,14,48.485405
974.0,179,48.911192
-10.0,1,48.911192
-3.0,4,48.919736
-5.0,2,48.925736
0.0,1,48.927273
35.0,6,48.936806
36.0,16,48.970927
70.0,15,49.005526
16.0,8,49.025565
-25.0,3,49.034078
10.0,2,49.036589
0.0,1,49.042598
-22.0,6,49.054634
-10.0,3,49.064191
1.0,5,49.074755
49.0,15,49.105841
-19.0,6,49.115362
-15.0,4,49.12342
33.0,12,49.146161
-7.0,21,49.18431
14.0,20,49.218468
568.0,111,49.438385
1066.0,192,49.828577
1151.0,200,50.174458
1159.0,200,50.565542
675.0,114,50.800708
12.0,7,50.814231
1181.0,200,51.245428
1196.0,200,51.744231
-7.0,3,51.747781
1129.0,200,52.171567
-9.0,2,52.180104
-14.0,3,52.187737
1180.0,200,52.665804
20.0,3,52.668811
195.0,35,52.746302
21.0,14,52.77405
1190.0,200,53.148127
176.0,29,53.199685
20.0,3,53.205653
-8.0,8,53.218711
4.0,10,53.235743
-28.0,9,53.251281
1149.0,200,53.601019
6.0,4,53.607543
1082.0,200,53.97568
620.0,111,54.221911
-2.0,1,54.222919
655.0,122,54.472166
324.0,54,54.562284
185.0,34,54.622449
-18.0,2,54.623449
-2.0,1,54.630978
1107.0,200,55.006542
-20.0,2,55.00855
741.0,123,55.238722
1103.0,200,55.59532
16.0,5,55.600847
225.0,35,55.659008
-9.0,1,55.660008
11.0,9,55.672526
1157.0,200,56.010629
5.0,3,56.016129
-15.0,4,56.026686
1152.0,200,56.42141
-4.0,3,56.428945
4.0,3,56.437458
62.0,14,56.466749
394.0,74,56.593265
-9.0,10,56.608305
2.0,3,56.613304
-5.0,2,56.614304
422.0,77,56.73981
593.0,104,56.92004
1198.0,200,57.275971
