#{"t_start": 1775121427.133572, "env_id": "None"}
r,l,t
-2.0,10,0.011533
270.0,165,0.145544
-24.0,13,0.162089
-4.0,13,0.17913
1.0,15,0.198165
77.0,48,0.261846
77.0,28,0.298934
6.0,5,0.310457
-9.0,1,0.310457
-12.0,7,0.319509
6.0,21,0.349108
-11.0,3,0.35562
-8.0,2,0.356635
19.0,4,0.36064
-6.0,15,0.381685
82.0,27,0.420874
1.0,8,0.431396
5.0,9,0.445444
-18.0,2,0.446455
117.0,28,0.482024
143.0,38,0.528186
-10.0,2,0.528186
8.0,4,0.534186
-6.0,3,0.540709
340.0,200,0.838116
12.0,10,0.85716
-9.0,1,0.85716
129.0,49,0.922853
39.0,52,1.008464
-3.0,2,1.015504
85.0,31,1.069171
-7.0,1,1.073171
-13.0,1,1.074173
57.0,31,1.146033
8.0,9,1.169142
0.0,5,1.178676
96.0,32,1.277737
-15.0,5,1.295808
-12.0,2,1.318469
112.0,30,1.471234
-3.0,16,1.529084
11.0,3,1.540631
57.0,29,1.613967
217.0,54,1.760648
-3.0,6,1.775195
138.0,46,1.937103
-14.0,14,1.976319
-17.0,3,1.990895
-6.0,25,2.048828
-13.0,1,2.055328
-6.0,7,2.063344
192.0,63,2.209437
0.0,1,2.210437
-3.0,10,2.237045
-24.0,21,2.273669
-8.0,4,2.280201
-6.0,18,2.318918
-9.0,1,2.31992
13.0,14,2.347503
133.0,53,2.45039
8.0,4,2.456906
91.0,39,2.518721
18.0,9,2.539794
-19.0,3,2.540794
-13.0,1,2.548318
-23.0,5,2.554317
32.0,12,2.573376
-11.0,4,2.581897
-4.0,26,2.62609
-9.0,1,2.633101
17.0,8,2.645141
440.0,200,2.969105
-10.0,3,2.971106
-1.0,6,2.983647
1.0,9,2.995692
0.0,8,3.00574
19.0,8,3.020273
-19.0,5,3.026805
8.0,6,3.03732
130.0,49,3.117548
9.0,10,3.138597
36.0,22,3.176677
-21.0,6,3.190216
5.0,5,3.197747
23.0,9,3.213282
64.0,21,3.25039
351.0,162,3.481705
-12.0,2,3.481705
-4.0,7,3.490235
439.0,200,3.822137
0.0,1,3.823137
435.0,167,4.089031
-21.0,3,4.096568
-13.0,12,4.118164
-1.0,19,4.150732
538.0,200,4.55399
4.0,6,4.568088
144.0,50,4.741487
146.0,29,4.830946
11.0,10,4.890233
2.0,9,4.957645
167.0,51,5.134079
-18.0,4,5.146176
8.0,10,5.181862
578.0,200,5.930472
-14.0,2,5.932472
631.0,200,6.62861
-20.0,2,6.638152
-15.0,1,6.640143
35.0,17,6.698421
-18.0,4,6.712462
209.0,48,6.828457
17.0,9,6.85504
6.0,6,6.864059
118.0,27,6.920799
-5.0,6,6.930334
-5.0,4,6.937878
14.0,5,6.951431
-20.0,2,6.951431
65.0,19,6.987562
140.0,50,7.108084
26.0,19,7.161797
-9.0,1,7.162795
127.0,40,7.259676
208.0,59,7.393177
205.0,49,7.488046
0.0,6,7.499581
-8.0,5,7.505086
276.0,57,7.601362
7.0,3,7.608392
403.0,132,7.800928
43.0,22,7.849093
18.0,12,7.869134
297.0,81,8.006704
270.0,88,8.145088
42.0,31,8.194227
0.0,1,8.195759
701.0,200,8.519244
29.0,15,8.545803
106.0,37,8.601457
569.0,180,8.893252
50.0,18,8.913815
364.0,91,9.070782
4.0,10,9.091829
-15.0,1,9.09283
2.0,3,9.099351
224.0,44,9.171551
738.0,200,9.547689
367.0,90,9.706621
-9.0,5,9.714133
14.0,12,9.735693
3.0,4,9.741719
654.0,200,10.065789
757.0,200,10.37309
764.0,200,10.754352
773.0,200,11.105998
355.0,96,11.264937
482.0,106,11.440448
209.0,49,11.512169
8.0,6,11.523241
-14.0,4,11.530772
367.0,93,11.692707
38.0,16,11.718788
166.0,40,11.773405
12.0,31,11.820038
-5.0,2,11.822038
26.0,24,11.856153
-13.0,7,11.872712
397.0,81,12.010624
-2.0,1,12.011625
-12.0,2,12.017148
14.0,15,12.0432
130.0,32,12.09083
376.0,81,12.215632
-6.0,8,12.226168
1.0,6,12.232167
-7.0,5,12.24269
21.0,4,12.248211
-2.0,1,12.249211
200.0,62,12.33894
-9.0,1,12.344938
0.0,1,12.345446
-19.0,3,12.350465
955.0,200,12.705037
16.0,9,12.720569
-11.0,8,12.73662
-4.0,3,12.743615
13.0,24,12.781713
800.0,200,13.094243
-4.0,3,13.095752
1.0,17,13.132867
575.0,112,13.379084
442.0,91,13.591306
476.0,95,13.802033
534.0,112,14.115075
608.0,130,14.473623
1014.0,200,14.943411
0.0,1,14.943411
40.0,27,15.014907
977.0,200,15.475137
318.0,67,15.597732
23.0,12,15.627534
967.0,189,16.091482
-13.0,5,16.106538
218.0,40,16.235399
84.0,25,16.303356
-5.0,5,16.317436
338.0,65,16.528269
1011.0,200,16.96637
-8.0,5,16.973381
417.0,83,17.168427
329.0,72,17.318532
14.0,6,17.330479
-15.0,1,17.330479
3.0,13,17.363609
-2.0,1,17.365121
1053.0,200,17.823348
1084.0,200,18.24364
1040.0,200,18.709934
1105.0,200,19.103021
1010.0,174,19.416867
1133.0,200,19.764002
1190.0,200,20.118794
-8.0,2,20.126309
0.0,12,20.149365
734.0,129,20.382891
50.0,104,20.581405
29.0,38,20.651684
119.0,24,20.693832
1082.0,200,21.040274
1192.0,200,21.410417
3.0,4,21.419951
12.0,4,21.430985
211.0,39,21.503685
1125.0,200,21.898034
-7.0,3,21.90404
443.0,78,22.045919
1156.0,200,22.435377
1085.0,200,22.92796
455.0,81,23.184973
-5.0,4,23.20006
19.0,14,23.242748
1133.0,194,23.755036
1.0,2,23.756559
122.0,25,23.813183
1152.0,194,24.200817
1155.0,200,24.595743
1124.0,200,24.992377
0.0,1,24.993377
13.0,9,25.013432
1140.0,200,25.357455
172.0,200,25.699238
1172.0,200,26.057693
-10.0,2,26.060201
1158.0,200,26.429256
1114.0,200,26.852576
1179.0,200,27.275087
-20.0,2,27.281111
1151.0,200,27.647154
1216.0,200,28.014072
1.0,4,28.022599
1093.0,200,28.382672
-2.0,1,28.383672
897.0,153,28.675927
18.0,15,28.708504
26.0,4,28.715013
21.0,15,28.747597
191.0,36,28.815755
1.0,2,28.816763
841.0,149,29.076864
1251.0,200,29.460383
1237.0,200,29.804234
-15.0,1,29.812781
-15.0,1,29.815294
-5.0,2,29.817309
1194.0,200,30.206099
0.0,3,30.212106
-5.0,2,30.217646
9.0,6,30.230155
-20.0,2,30.236586
-9.0,1,30.237598
2.0,14,30.261646
-20.0,2,30.267679
37.0,10,30.288739
0.0,1,30.296273
845.0,153,30.598245
1119.0,200,30.933207
1245.0,200,31.285127
6.0,2,31.287138
1219.0,200,31.627823
1167.0,200,31.979417
10.0,5,31.995449
1213.0,200,32.419744
1159.0,200,32.803852
204.0,42,32.876558
1080.0,200,33.239083
-4.0,3,33.244084
1187.0,200,33.589228
34.0,5,33.595736
251.0,44,33.673898
18.0,3,33.680427
8.0,2,33.681424
1193.0,200,34.027938
1181.0,200,34.411587
1139.0,200,34.789061
-2.0,1,34.793062
1141.0,200,35.148098
0.0,3,35.151099
1107.0,200,35.485294
1162.0,200,35.833207
1119.0,200,36.168506
-9.0,1,36.172505
-3.0,13,36.191052
1161.0,200,36.525512
893.0,158,36.793753
1.0,4,36.800276
1144.0,200,37.166273
31.0,9,37.187886
-9.0,1,37.188887
-8.0,2,37.189887
551.0,95,37.365364
1205.0,200,37.81179
494.0,85,37.981699
1168.0,200,38.337963
1227.0,200,38.713202
8.0,4,38.720737
1086.0,200,39.088068
1156.0,200,39.466524
522.0,84,39.603868
187.0,32,39.660998
11.0,12,39.685065
1146.0,200,40.12948
1200.0,200,40.542842
-6.0,8,40.558903
1159.0,200,40.962066
910.0,159,41.25333
860.0,137,41.485867
536.0,91,41.643359
7.0,3,41.65088
1135.0,200,41.993772
1183.0,200,42.382851
43.0,53,42.479607
146.0,165,42.789344
3.0,4,42.798898
1216.0,200,43.249737
1164.0,200,43.628856
1058.0,200,43.998473
1174.0,200,44.371518
1114.0,200,44.744135
7.0,13,44.788821
1192.0,200,45.197192
-4.0,10,45.211717
21.0,37,45.285925
1100.0,200,45.67633
777.0,145,45.959725
1130.0,200,46.3408
1195.0,200,46.701565
-2.0,1,46.702567
16.0,29,46.760711
1203.0,200,47.125803
205.0,200,47.481277
1093.0,200,47.8675
3.0,11,47.89405
194.0,190,48.265878
604.0,102,48.469566
-7.0,2,48.470567
69.0,73,48.613652
1191.0,200,48.980663
258.0,51,49.063368
672.0,117,49.290827
-2.0,1,49.29183
121.0,24,49.328933
1192.0,200,49.670363
1172.0,200,50.03134
1157.0,200,50.384219
1234.0,200,50.727737
1142.0,200,51.087176
719.0,124,51.320715
185.0,41,51.398939
1114.0,196,51.726328
1081.0,200,52.076228
6.0,2,52.081236
1160.0,200,52.458332
8.0,29,52.504959
-15.0,1,52.505474
1130.0,200,52.82984
208.0,200,53.188359
1168.0,200,53.604291
1.0,13,53.63489
1116.0,200,54.021185
187.0,200,54.380148
784.0,143,54.639282
603.0,106,54.823821
417.0,69,54.961714
34.0,52,55.060519
250.0,46,55.136204
1231.0,200,55.535361
186.0,200,55.965419
1160.0,200,56.478475
654.0,114,56.776932
-9.0,1,56.777948
14.0,3,56.788488
666.0,118,57.049967
-13.0,1,57.055477
1083.0,200,57.463348
1160.0,200,57.850552
74.0,13,57.870598
1186.0,200,58.249598
625.0,115,58.467202
-1.0,9,58.4827
64.0,17,58.516351
-2.0,1,58.517365
1167.0,200,58.919796
1111.0,200,59.330631
401.0,75,59.480029
888.0,150,59.754986
1140.0,200,60.139287
1247.0,200,60.52041
1160.0,200,60.878342
104.0,108,61.084189
1172.0,200,61.549902
-2.0,1,61.551902
38.0,48,61.655706
1158.0,200,62.06686
-7.0,3,62.072868
542.0,99,62.275885
-8.0,2,62.283905
-9.0,1,62.285412
1116.0,200,62.707348
258.0,49,62.79008
1189.0,200,63.195637
205.0,200,63.614942
186.0,200,64.025204
1124.0,200,64.495902
795.0,134,64.780206
1.0,2,64.781202
1188.0,200,65.212246
1213.0,200,65.615787
1155.0,200,66.02665
216.0,200,66.435034
-7.0,1,66.440044
633.0,108,66.675191
1074.0,200,67.074983
1141.0,200,67.479769
34.0,8,67.497808
6.0,2,67.500808
-12.0,2,67.507344
191.0,200,67.916245
1236.0,200,68.303977
1000.0,169,68.675707
-2.0,1,68.676718
1199.0,200,69.13595
1143.0,200,69.618841
489.0,86,69.833462
104.0,18,69.873602
1.0,2,69.882151
1154.0,200,70.319629
-3.0,7,70.328674
40.0,51,70.420484
42.0,13,70.44206
99.0,18,70.473655
32.0,7,70.486704
1148.0,200,70.871812
523.0,86,71.03425
203.0,200,71.400395
-9.0,1,71.401395
1237.0,200,71.734408
1147.0,200,72.100873
1230.0,200,72.439257
375.0,68,72.57361
1217.0,200,72.920091
248.0,47,72.996795
24.0,17,73.031885
-2.0,1,73.038424
1165.0,200,73.405011
275.0,48,73.476693
289.0,57,73.589976
1084.0,183,73.931533
1109.0,200,74.292988
-6.0,4,74.301507
375.0,63,74.432307
634.0,114,74.638374
972.0,158,74.946949
1206.0,200,75.355141
1105.0,200,75.708654
1152.0,200,76.043957
39.0,31,76.103112
1.0,2,76.107639
18.0,23,76.143212
226.0,200,76.481072
-9.0,3,76.486587
1.0,2,76.491596
2.0,3,76.493605
766.0,141,76.750224
7.0,8,76.767253
1138.0,200,77.146826
1226.0,200,77.483678
1157.0,200,77.849147
1.0,2,77.851147
207.0,200,78.281999
849.0,149,78.595063
277.0,52,78.703456
-5.0,2,78.711987
1173.0,200,79.150042
6.0,7,79.170115
1082.0,200,79.551125
284.0,53,79.661484
121.0,21,79.708139
1183.0,200,80.16714
1218.0,200,80.668283
25.0,31,80.751132
1226.0,200,81.197151
24.0,7,81.213685
217.0,200,81.64386
1178.0,200,82.114961
1146.0,200,82.600319
-10.0,1,82.601322
1150.0,200,83.036116
1180.0,200,83.492922
98.0,16,83.527045
1085.0,196,83.961968
184.0,34,84.031729
1177.0,200,84.457533
1164.0,200,84.875109
780.0,134,85.141527
1144.0,200,85.505399
185.0,200,85.993916
194.0,200,86.47402
1136.0,200,86.899822
1165.0,200,87.288405
6.0,17,87.313442
-2.0,9,87.331508
204.0,200,87.733812
1136.0,200,88.255003
1.0,12,88.290657
25.0,5,88.312733
1115.0,200,88.800271
196.0,200,89.344117
824.0,140,89.811309
-5.0,6,89.825095
1112.0,200,90.459033
557.0,92,90.749914
192.0,200,91.380984
1172.0,200,91.859694
6.0,2,91.866225
1231.0,200,92.270429
1150.0,200,92.639233
1191.0,200,92.981777
1115.0,200,93.337186
54.0,65,93.445434
851.0,150,93.719891
1123.0,200,94.187419
13.0,24,94.255677
4.0,16,94.303392
1159.0,200,94.885288
709.0,127,95.26229
-10.0,1,95.264286
1211.0,200,95.781067
55.0,74,95.977765
12.0,23,96.033935
1108.0,200,96.534276
1208.0,200,97.007845
-5.0,5,97.018403
189.0,34,97.103201
-7.0,1,97.111733
166.0,172,97.547905
1196.0,200,98.010256
-2.0,1,98.011254
1.0,2,98.013255
878.0,143,98.38278
799.0,143,98.722615
547.0,90,98.972494
858.0,148,99.335373
482.0,90,99.557568
887.0,157,99.891718
1096.0,200,100.381481
1125.0,200,100.79524
2.0,4,100.802269
