#{"t_start": 1775124259.8445232, "env_id": "None"}
r,l,t
-6.0,22,0.036083
110.0,28,0.067696
56.0,27,0.107834
-1.0,8,0.119378
3.0,9,0.132915
-15.0,1,0.133916
-1.0,8,0.145021
18.0,20,0.169621
-8.0,3,0.174621
83.0,29,0.204212
112.0,57,0.259279
99.0,60,0.317695
-9.0,9,0.326274
-15.0,1,0.328293
9.0,7,0.334324
-15.0,1,0.336414
-6.0,6,0.341459
-8.0,5,0.348959
11.0,7,0.356474
9.0,20,0.386113
1.0,17,0.402713
33.0,23,0.423901
-9.0,1,0.425905
320.0,200,0.611707
95.0,25,0.633767
6.0,26,0.658044
58.0,70,0.720324
-5.0,7,0.72683
344.0,200,0.907689
14.0,26,0.930737
10.0,13,0.942265
4.0,4,0.945265
125.0,64,1.002427
1.0,2,1.004426
230.0,200,1.177196
-15.0,1,1.179198
86.0,30,1.205244
-22.0,4,1.208774
-3.0,4,1.213156
-1.0,6,1.21874
-12.0,3,1.220741
21.0,20,1.237667
-11.0,11,1.246213
-12.0,9,1.253269
-9.0,1,1.254273
-15.0,1,1.255268
-9.0,17,1.270448
-15.0,3,1.273443
2.0,3,1.275994
-8.0,14,1.286585
15.0,7,1.292622
-20.0,12,1.30321
67.0,24,1.323344
146.0,26,1.344532
6.0,10,1.353609
41.0,22,1.371797
-2.0,20,1.388963
38.0,42,1.422705
-15.0,1,1.423696
10.0,28,1.447392
-6.0,2,1.449429
-19.0,24,1.468608
284.0,200,1.63253
65.0,69,1.691038
1.0,23,1.711123
261.0,200,1.878619
64.0,28,4.124135
-9.0,1,4.126135
-15.0,7,4.134657
142.0,52,4.204833
9.0,7,4.214354
2.0,16,4.233405
-9.0,2,4.234405
-3.0,15,4.251965
-9.0,1,4.252965
-14.0,3,4.256474
112.0,44,4.306076
11.0,13,4.319618
101.0,49,4.373666
0.0,1,4.374665
227.0,149,4.520468
-15.0,2,4.522467
-13.0,1,4.523467
-2.0,12,4.535033
106.0,39,4.571304
-7.0,2,4.574304
-16.0,2,4.575304
-6.0,10,4.58483
85.0,33,4.615917
8.0,2,4.617928
158.0,31,4.644511
-11.0,9,4.654037
28.0,21,4.673129
3.0,5,4.677714
-14.0,4,4.680717
-2.0,16,4.695313
287.0,150,4.848712
-11.0,3,4.851711
-3.0,37,4.893825
8.0,7,4.901358
373.0,188,5.108394
-14.0,2,5.110389
311.0,200,5.321488
-5.0,12,5.335027
86.0,51,5.38938
84.0,15,5.406419
4.0,16,5.422971
150.0,51,5.480674
-8.0,2,5.482673
21.0,17,5.499735
0.0,5,5.504735
40.0,34,5.542933
-12.0,8,5.551497
8.0,14,5.566048
39.0,20,5.58875
0.0,1,5.589784
0.0,5,5.594783
0.0,3,5.598371
-9.0,1,5.600369
-10.0,1,5.601371
1.0,8,5.608961
21.0,22,5.631138
97.0,63,5.691866
13.0,6,5.698391
-8.0,12,5.709921
-5.0,2,5.711921
15.0,10,5.721447
-8.0,2,5.724449
21.0,12,5.734979
-15.0,3,5.738506
12.0,21,5.758071
-5.0,11,5.768693
117.0,43,5.80797
14.0,17,5.824564
-9.0,1,5.824564
