#{"t_start": 1775123782.2272165, "env_id": "None"}
r,l,t
-6.0,22,0.038234
110.0,28,0.083854
56.0,27,0.115437
-1.0,8,0.12394
3.0,9,0.133484
-15.0,1,0.135528
-1.0,8,0.144052
18.0,20,0.166791
-8.0,3,0.16979
83.0,29,0.210112
112.0,57,0.271108
99.0,60,0.331613
-9.0,9,0.342201
-15.0,1,0.343735
9.0,7,0.350771
-15.0,1,0.351736
-6.0,6,0.359857
-8.0,5,0.364406
11.0,7,0.372914
9.0,20,0.393049
1.0,17,0.409673
33.0,23,0.432844
-9.0,1,0.434393
322.0,200,1.247337
1.0,7,1.255926
98.0,37,1.309121
20.0,23,1.344401
348.0,200,1.651598
-18.0,6,1.658191
-9.0,1,1.660787
260.0,184,2.483699
-2.0,7,2.497311
16.0,25,2.53449
0.0,11,2.554312
-3.0,4,2.559808
-8.0,8,2.569338
-6.0,3,2.573857
140.0,40,2.628348
-15.0,1,2.629348
43.0,35,2.681763
162.0,41,2.727587
-3.0,4,2.731618
22.0,11,2.744303
-9.0,2,2.746337
-25.0,7,2.753926
-15.0,1,2.754925
116.0,65,2.82732
5.0,5,2.832872
4.0,7,2.840919
-9.0,1,2.841917
-1.0,10,2.853011
-6.0,7,2.86164
-14.0,13,2.875754
-2.0,6,2.881756
-17.0,5,2.888343
-1.0,2,2.890317
19.0,30,2.921102
83.0,24,2.945765
16.0,12,2.958392
17.0,13,2.971549
-14.0,5,2.97811
0.0,1,2.97911
121.0,54,3.033524
-7.0,13,3.047151
-8.0,4,3.051152
107.0,37,3.656565
333.0,178,3.899664
-7.0,5,3.90529
244.0,140,4.074862
-9.0,1,4.075866
76.0,21,4.100214
5.0,51,4.165244
-12.0,5,4.171247
-5.0,9,4.18328
316.0,194,5.032921
1.0,3,5.035967
3.0,7,5.048453
3.0,9,5.063121
198.0,54,5.128123
-21.0,3,5.131123
12.0,8,5.140672
-9.0,5,5.146267
226.0,53,5.203251
-15.0,4,5.208296
156.0,107,5.321119
-10.0,4,5.325642
115.0,30,5.357415
151.0,73,5.430454
5.0,9,5.440039
175.0,51,6.091696
-5.0,5,6.098266
124.0,29,6.133993
-13.0,6,6.142022
4.0,14,6.163743
9.0,6,6.171755
-1.0,2,6.175296
68.0,55,6.246734
120.0,39,6.299577
-5.0,3,6.303121
-8.0,6,6.311134
146.0,57,6.375449
-17.0,4,6.379447
-10.0,7,6.386978
9.0,8,6.397514
13.0,15,6.413624
-3.0,6,6.420661
491.0,200,6.630905
-10.0,10,6.641488
134.0,37,7.248378
-13.0,5,7.253938
-8.0,12,7.274693
118.0,37,7.327592
9.0,5,7.337159
167.0,52,7.41838
-14.0,8,7.427947
50.0,25,7.461578
-7.0,10,7.473237
-9.0,1,7.475285
20.0,7,7.483284
156.0,46,7.534515
17.0,4,7.539551
85.0,36,7.578084
2.0,17,7.597238
300.0,114,7.720549
77.0,31,7.754675
222.0,67,7.823604
-14.0,2,7.826611
177.0,41,8.450076
-8.0,3,8.453628
228.0,57,8.535537
329.0,83,8.654304
140.0,47,8.706779
1.0,10,8.718369
558.0,200,8.933469
-2.0,4,8.937505
8.0,7,8.945052
