#{"t_start": 1775124368.160469, "env_id": "None"}
r,l,t
-6.0,22,0.03859
110.0,28,0.074741
56.0,27,0.106414
-1.0,8,0.116497
3.0,9,0.129027
-15.0,1,0.130533
-1.0,8,0.140053
18.0,20,0.163106
-8.0,3,0.166107
83.0,29,0.195654
112.0,57,0.250932
99.0,60,0.308773
-9.0,9,0.317357
-15.0,1,0.318328
9.0,7,0.32495
-15.0,1,0.325946
-6.0,6,0.331473
-8.0,5,0.338482
11.0,7,0.34702
9.0,20,0.367093
1.0,17,0.383151
33.0,23,0.405348
-9.0,1,0.406349
320.0,200,0.588662
95.0,25,0.610852
6.0,26,0.634913
58.0,70,0.696375
-5.0,7,0.701964
344.0,200,0.877393
14.0,26,0.900724
10.0,13,0.911337
4.0,4,0.915498
125.0,64,0.971344
1.0,2,0.973371
230.0,200,1.14938
-15.0,1,1.15092
86.0,30,1.178083
-22.0,4,1.181632
-3.0,4,1.184665
-1.0,6,1.190244
-12.0,3,1.193292
21.0,20,1.210426
-11.0,11,1.220665
-12.0,9,1.228709
-9.0,1,1.228709
-15.0,1,1.230253
-9.0,17,1.244891
-15.0,3,1.246891
2.0,3,1.248891
-8.0,14,1.261078
15.0,7,1.268072
-20.0,12,1.278656
67.0,24,1.300364
146.0,26,1.323176
6.0,10,1.331466
41.0,22,1.350641
-2.0,20,1.368228
38.0,42,1.40447
-15.0,1,1.405472
10.0,28,1.42873
-6.0,2,1.431282
-19.0,24,1.45213
284.0,200,1.618883
65.0,69,1.675345
1.0,23,1.695461
261.0,200,1.862189
161.0,62,4.221041
-15.0,20,4.245122
-7.0,6,4.253702
-14.0,8,4.266277
82.0,36,4.31109
2.0,5,4.316628
45.0,44,4.36853
5.0,8,4.378115
-11.0,3,4.381223
235.0,163,4.540603
-9.0,1,4.542643
230.0,100,4.634597
0.0,1,4.635598
56.0,46,4.677937
3.0,6,4.682525
73.0,28,4.707722
14.0,5,4.712283
41.0,40,4.748656
357.0,200,4.923835
32.0,12,4.935327
319.0,140,5.054964
3.0,20,5.072115
97.0,35,5.101847
-11.0,3,5.103847
-6.0,4,5.107847
106.0,31,5.134174
2.0,13,5.14641
63.0,39,5.183282
116.0,60,5.233843
168.0,109,5.326731
14.0,19,5.342613
-9.0,4,5.34661
59.0,25,5.367396
-11.0,7,5.373546
-1.0,12,5.38412
-5.0,3,5.38612
-7.0,3,5.389121
-31.0,44,5.426044
-9.0,3,5.429043
128.0,47,5.467326
11.0,8,5.473919
60.0,22,5.492065
-2.0,10,5.501654
-4.0,5,5.505692
385.0,200,5.673703
113.0,34,5.701406
116.0,45,5.739249
-5.0,6,5.743841
-7.0,3,5.747841
-2.0,5,5.751398
-9.0,2,5.753431
115.0,50,5.794689
8.0,8,5.801242
102.0,49,5.843222
72.0,34,5.871985
-5.0,2,5.872987
-14.0,4,5.876988
43.0,26,5.898164
-5.0,2,5.900164
-8.0,16,5.914141
89.0,46,5.952093
3.0,4,5.955087
-5.0,2,5.957087
-12.0,2,5.959088
35.0,23,5.978261
0.0,26,6.000442
-8.0,2,6.002035
-11.0,9,8.268072
28.0,21,8.294697
-10.0,5,8.300215
4.0,12,8.312746
-6.0,4,8.318369
0.0,1,8.320915
6.0,10,8.334477
23.0,50,8.402238
130.0,43,8.456631
-9.0,3,8.460207
20.0,24,8.486051
-5.0,21,8.508192
12.0,26,8.533495
177.0,43,8.576849
36.0,24,8.600506
11.0,5,8.604541
-14.0,2,8.606545
-17.0,3,8.610089
110.0,44,8.652053
199.0,63,8.710511
12.0,6,8.716086
-2.0,5,8.721651
105.0,31,8.748813
135.0,36,8.782147
-16.0,11,8.791662
160.0,53,8.839368
-9.0,14,8.853221
-15.0,1,8.854219
156.0,46,8.895538
349.0,165,9.037395
15.0,6,9.042749
147.0,44,9.080067
21.0,18,9.0952
380.0,200,9.263237
2.0,13,9.274826
-9.0,1,9.275825
0.0,18,9.290417
-14.0,2,9.291654
112.0,29,9.314869
4.0,4,9.318459
517.0,200,9.484515
5.0,21,9.502697
11.0,3,9.505694
68.0,24,9.52546
256.0,105,9.611649
146.0,58,9.660717
153.0,55,9.706099
123.0,36,9.736008
136.0,27,9.759111
2.0,3,9.761661
12.0,4,9.764697
