#{"t_start": 1775120849.6351032, "env_id": "None"}
r,l,t
-2.0,10,0.011587
325.0,200,0.216959
6.0,26,0.24852
66.0,23,0.28813
-17.0,8,0.301662
-15.0,8,0.314717
43.0,20,0.354929
15.0,29,0.40864
0.0,5,0.420168
19.0,4,0.428711
-6.0,15,0.447766
82.0,27,0.480546
1.0,8,0.490072
5.0,9,0.499597
-18.0,2,0.504122
9.0,14,0.518632
-2.0,1,0.52415
-4.0,3,0.526161
12.0,4,0.532158
18.0,11,0.546206
-14.0,4,0.55141
121.0,31,0.59052
262.0,200,0.930254
18.0,22,0.967916
10.0,12,0.992996
320.0,200,1.338166
-2.0,13,1.370296
6.0,4,1.378817
2.0,7,1.389351
-7.0,8,1.405434
370.0,163,1.650812
-1.0,8,1.66134
94.0,49,1.738744
-14.0,3,1.747277
395.0,200,2.074554
-10.0,4,2.08059
211.0,88,2.226294
179.0,111,2.407654
40.0,23,2.440233
38.0,29,2.479862
50.0,14,2.497907
192.0,103,2.689208
17.0,8,2.705141
-2.0,6,2.714669
50.0,19,2.735716
87.0,53,2.817507
-1.0,4,2.821509
394.0,200,3.138023
-7.0,2,3.139028
131.0,32,3.201396
17.0,7,3.216462
-8.0,2,3.217463
-9.0,9,3.239536
137.0,39,3.300211
92.0,36,3.364609
-17.0,19,3.403753
8.0,6,3.41829
416.0,200,3.818525
-13.0,3,3.820523
-15.0,22,3.876953
2.0,5,3.886487
-13.0,4,3.895024
10.0,4,3.903526
-21.0,6,3.91909
-15.0,1,3.920093
7.0,3,3.927629
-4.0,9,3.94469
5.0,8,3.959653
173.0,43,4.041841
-11.0,3,4.043348
-9.0,1,4.049373
-8.0,2,4.049373
-15.0,4,4.059441
14.0,53,4.16761
2.0,6,4.191698
478.0,200,4.615393
-10.0,17,4.65148
-31.0,5,4.661026
113.0,27,4.73139
198.0,51,4.820333
-2.0,1,4.822334
-2.0,9,4.833386
-5.0,14,4.856772
15.0,5,4.861772
120.0,44,4.931495
-8.0,22,4.972123
15.0,9,4.98905
-24.0,9,5.004071
-9.0,5,5.013586
3.0,5,5.027134
130.0,44,5.102156
-10.0,4,5.110693
-11.0,3,5.111693
304.0,140,5.327381
217.0,60,5.429876
7.0,14,5.456929
115.0,33,5.509512
519.0,200,5.804081
131.0,55,5.881707
14.0,4,5.889299
-10.0,1,5.889299
499.0,200,6.196103
377.0,156,6.420026
-12.0,2,6.424622
-2.0,9,6.437203
31.0,12,6.453307
-4.0,16,6.479046
245.0,88,6.623731
5.0,9,6.635267
192.0,48,6.701559
4.0,7,6.715733
23.0,12,6.735958
589.0,200,7.019526
221.0,51,7.091245
486.0,161,7.35165
-2.0,4,7.35921
0.0,3,7.365808
578.0,200,7.668212
15.0,10,7.684338
166.0,48,7.763397
-11.0,6,7.772412
-9.0,1,7.773413
318.0,99,7.910414
-8.0,9,7.923444
222.0,47,8.000687
1.0,3,8.001688
117.0,38,8.066378
51.0,21,8.099961
562.0,200,8.392216
-15.0,5,8.39874
-13.0,5,8.406269
1.0,4,8.413269
-14.0,7,8.418379
651.0,200,8.721889
-15.0,8,8.732424
564.0,181,9.058035
16.0,23,9.100975
-19.0,17,9.141242
383.0,111,9.317111
166.0,44,9.381883
171.0,44,9.450784
724.0,200,9.781671
685.0,176,10.05779
-16.0,3,10.065329
145.0,39,10.127357
662.0,200,10.423696
503.0,125,10.641578
218.0,65,10.737684
-8.0,6,10.749195
50.0,23,10.791854
67.0,34,10.851266
-7.0,5,10.856789
492.0,117,11.038925
-5.0,4,11.045513
-12.0,2,11.04651
152.0,39,11.104344
-16.0,13,11.127427
