#{"t_start": 1775124031.9217353, "env_id": "None"}
r,l,t
-6.0,22,0.033561
110.0,28,0.076041
56.0,27,0.113769
-1.0,8,0.122267
3.0,9,0.131797
-15.0,1,0.134825
-1.0,8,0.14241
18.0,20,0.164
-8.0,3,0.168572
83.0,29,0.205794
112.0,57,0.26405
99.0,60,0.319929
-9.0,9,0.327938
-15.0,1,0.329447
9.0,7,0.336501
-15.0,1,0.337501
-6.0,6,0.343082
-8.0,5,0.347083
11.0,7,0.355667
9.0,20,0.373806
1.0,17,0.389435
33.0,23,0.416549
-9.0,1,0.417549
320.0,200,0.59784
95.0,25,0.620263
6.0,26,0.64238
58.0,70,0.705141
-5.0,7,0.711692
344.0,200,0.898532
14.0,26,0.921107
10.0,13,0.932642
4.0,4,0.935642
125.0,64,0.993018
1.0,2,0.994983
230.0,200,1.163598
-15.0,1,1.164589
86.0,30,1.188888
-22.0,4,1.193934
-3.0,4,1.196933
-1.0,6,1.204021
-12.0,3,1.207025
21.0,20,1.224077
-11.0,11,1.233603
-12.0,9,1.24113
-9.0,1,1.24213
-15.0,1,1.24313
-9.0,17,1.256656
-15.0,3,1.260172
2.0,3,1.262182
-8.0,14,1.273775
15.0,7,1.280322
-20.0,12,1.290239
67.0,24,1.309418
146.0,26,1.330514
6.0,10,1.339028
41.0,22,1.35859
-2.0,20,1.374766
38.0,42,1.419522
-15.0,1,1.420561
10.0,28,1.444685
-6.0,2,1.446686
-19.0,24,1.467738
284.0,200,1.644265
65.0,69,1.703927
1.0,23,1.723959
261.0,200,1.89235
161.0,62,4.124828
-15.0,20,4.148876
-7.0,6,4.155391
-14.0,8,4.163916
48.0,46,4.230617
-2.0,11,4.246163
55.0,32,4.281273
428.0,200,4.472627
-10.0,2,4.474625
18.0,18,4.492029
-12.0,2,4.493996
-17.0,6,4.499532
4.0,6,4.505532
-21.0,11,4.516057
4.0,4,4.519587
16.0,26,4.542642
-12.0,2,4.545642
184.0,42,4.583853
2.0,5,4.588825
73.0,28,4.617702
14.0,5,4.624912
64.0,28,4.652609
-13.0,5,4.657606
-8.0,4,4.662131
-15.0,1,4.663131
-8.0,10,4.673659
-7.0,3,4.676659
53.0,34,4.711302
-19.0,3,4.715301
27.0,13,4.728834
190.0,89,4.824833
3.0,4,4.830353
2.0,4,4.833362
75.0,32,4.863988
406.0,200,5.046005
-18.0,4,5.050561
22.0,11,5.059848
-9.0,5,5.06488
94.0,41,5.100643
-16.0,49,5.14294
-13.0,1,5.14394
-20.0,4,5.146944
33.0,33,5.175666
343.0,200,5.345681
-5.0,14,5.357233
-14.0,13,5.368786
-17.0,8,5.375311
72.0,47,5.413918
-10.0,2,5.415919
-9.0,13,5.427449
-8.0,9,5.434982
-9.0,7,5.441501
0.0,1,5.442501
-9.0,10,5.451027
121.0,44,5.487772
-9.0,5,5.491898
-9.0,5,5.496904
-11.0,3,5.500419
12.0,12,5.509944
6.0,6,5.515952
-2.0,1,5.515952
5.0,4,5.519459
425.0,200,5.682727
228.0,114,5.777514
221.0,140,5.891229
-11.0,3,5.893746
62.0,31,5.919303
-7.0,2,5.92132
17.0,10,5.92984
157.0,41,8.144267
48.0,20,8.177882
-5.0,3,8.18242
8.0,8,8.194951
-3.0,21,8.221025
-14.0,7,8.232569
-19.0,7,8.244108
16.0,8,8.255641
165.0,54,8.325905
377.0,200,8.522499
3.0,9,8.532025
4.0,7,8.537025
5.0,13,8.551073
120.0,53,8.600292
-9.0,1,8.601294
54.0,26,8.624515
-16.0,4,8.628984
-11.0,5,8.633004
0.0,5,8.637003
-9.0,6,8.643531
-9.0,1,8.644529
30.0,21,8.663585
4.0,17,8.678618
458.0,200,8.852992
4.0,8,8.860585
180.0,66,8.91497
2.0,4,8.918547
123.0,51,8.963763
1.0,2,8.965762
305.0,152,9.093514
-9.0,2,9.094516
20.0,13,9.105705
72.0,19,9.12086
-5.0,12,9.131351
88.0,41,9.16672
-5.0,6,9.171305
-1.0,5,9.176274
-10.0,1,9.177307
70.0,25,9.198597
31.0,20,9.21523
168.0,55,9.259984
-1.0,11,9.2695
433.0,200,9.435947
144.0,43,9.472085
147.0,38,9.503365
122.0,61,9.552192
442.0,200,9.711462
16.0,27,9.734515
1.0,2,9.736516
-15.0,1,9.736516
126.0,36,9.767094
-9.0,9,9.774624
-9.0,1,9.776628
-5.0,2,9.779135
4.0,5,9.783156
210.0,106,9.880664
142.0,36,9.915758
1.0,2,9.917763
-10.0,8,9.925866
116.0,38,9.961966
295.0,120,12.346395
35.0,10,12.359421
121.0,38,12.418636
-2.0,5,12.424665
212.0,53,12.486501
4.0,5,12.492024
51.0,28,12.523629
43.0,16,12.54168
213.0,55,12.597935
178.0,53,12.650608
18.0,20,12.670653
-13.0,1,12.671662
-15.0,3,12.674663
24.0,12,12.68619
1.0,2,12.688698
53.0,47,12.733377
14.0,11,12.744905
50.0,14,12.75743
167.0,60,12.814365
69.0,29,12.84095
67.0,22,12.861999
17.0,18,12.879045
156.0,34,12.909297
0.0,8,12.917332
3.0,4,12.920927
55.0,36,12.953535
154.0,47,12.993881
-16.0,10,13.003052
19.0,5,13.00705
-12.0,6,13.012652
200.0,42,13.048914
219.0,64,13.104424
111.0,44,13.142712
181.0,49,13.18499
107.0,32,13.212356
14.0,18,13.227882
8.0,16,13.24096
54.0,35,13.269666
14.0,13,13.281276
-8.0,2,13.283274
483.0,200,13.449577
0.0,1,13.45058
13.0,9,13.457579
54.0,25,13.479145
-3.0,7,13.485152
-10.0,2,13.486151
-13.0,1,13.487152
11.0,4,13.490682
-10.0,4,13.49468
54.0,28,13.51871
-3.0,4,13.522724
25.0,8,13.529241
2.0,3,13.532248
13.0,4,13.535248
-5.0,3,13.537248
38.0,17,13.552398
146.0,40,13.587034
3.0,2,13.588548
74.0,24,13.609221
420.0,180,13.759639
510.0,200,13.923918
-2.0,11,13.933443
69.0,28,13.956614
176.0,36,13.986217
-12.0,2,13.987217
27.0,16,14.001801
133.0,37,14.031607
25.0,25,14.050786
-7.0,3,14.053786
-12.0,2,14.055786
-4.0,3,14.058785
63.0,24,14.077963
5.0,19,14.094136
-22.0,7,14.099696
-8.0,6,14.104724
-4.0,3,14.107727
-8.0,20,16.389504
16.0,20,16.421659
1.0,2,16.42366
10.0,7,16.431186
35.0,8,16.443701
285.0,72,16.542848
268.0,56,16.610549
7.0,3,16.613545
624.0,200,16.805267
17.0,9,16.813816
6.0,7,16.820365
3.0,6,16.826396
446.0,111,16.926596
163.0,40,16.961934
-15.0,1,16.962929
250.0,52,17.009897
-2.0,1,17.010945
1.0,5,17.014948
171.0,51,17.059835
298.0,82,17.131549
-4.0,20,17.14861
-15.0,1,17.149661
18.0,10,17.158655
119.0,32,17.186369
79.0,23,17.206199
-13.0,3,17.209726
183.0,59,17.26044
16.0,14,17.272986
154.0,62,17.325819
-15.0,3,17.327819
204.0,59,17.37754
123.0,66,17.431531
-12.0,17,17.446058
-14.0,4,17.448566
-11.0,7,17.454584
-12.0,2,17.456587
-2.0,3,17.459092
-2.0,4,17.463109
706.0,200,17.630125
-15.0,4,17.633133
-3.0,3,17.636132
-4.0,3,17.63864
258.0,101,17.721945
7.0,5,17.726943
-13.0,2,17.727944
-6.0,6,17.73351
-12.0,5,17.73754
485.0,141,17.853619
6.0,6,17.858578
-10.0,1,17.859805
-2.0,4,17.863844
-11.0,9,17.87043
-8.0,2,17.873399
57.0,18,17.887023
-13.0,15,17.900858
-1.0,2,17.901859
-12.0,5,17.906856
-5.0,7,17.912441
624.0,200,18.077878
589.0,200,20.442796
-10.0,4,20.450321
54.0,14,20.476415
24.0,8,20.493504
69.0,22,20.534178
-2.0,1,20.536179
-9.0,3,20.541715
158.0,42,20.608823
695.0,200,20.831408
0.0,5,20.837405
-2.0,1,20.837405
-13.0,3,20.841002
757.0,200,21.035738
1.0,2,21.037738
346.0,84,21.1162
-7.0,4,21.120795
-9.0,1,21.121791
718.0,200,21.302335
11.0,7,21.308915
