#{"t_start": 1775120647.2474194, "env_id": "None"}
r,l,t
-2.0,10,3.019024
270.0,165,3.229312
-24.0,13,3.239842
-4.0,13,3.253889
1.0,15,3.265046
77.0,48,3.31578
77.0,28,3.354706
6.0,5,3.365225
-9.0,1,3.366227
-12.0,7,3.378836
6.0,21,3.407746
-11.0,3,3.412263
-8.0,2,3.413272
19.0,4,3.419273
-6.0,15,3.440835
82.0,27,3.472605
1.0,8,3.479118
5.0,9,3.488635
-18.0,2,3.489637
117.0,28,3.51319
143.0,38,3.559257
-10.0,2,3.560775
8.0,4,3.567784
-6.0,3,3.573313
340.0,200,3.817882
12.0,10,3.832921
-9.0,1,3.832921
129.0,49,3.881806
39.0,52,3.954293
-3.0,2,3.959298
85.0,31,3.998519
-7.0,1,4.003803
-13.0,1,4.004808
57.0,31,4.050644
8.0,9,4.063175
0.0,5,4.069173
96.0,32,4.114288
-15.0,5,4.118288
-12.0,2,4.122811
112.0,30,4.155911
-3.0,16,4.178332
11.0,3,4.183846
57.0,29,4.217044
217.0,54,4.294606
-3.0,6,4.300604
138.0,46,4.369697
9.0,10,4.38124
-2.0,4,4.385258
-9.0,1,4.387259
14.0,13,4.399785
34.0,30,4.430845
12.0,23,4.466098
324.0,160,4.682027
21.0,9,4.695587
-2.0,3,4.70181
66.0,28,4.747905
6.0,11,4.768972
-2.0,3,4.777005
168.0,92,4.894242
-9.0,1,4.895238
379.0,176,5.151554
-2.0,3,5.157553
-3.0,4,5.165716
-16.0,12,5.187
-15.0,1,5.187995
374.0,200,5.48671
105.0,47,5.552701
-9.0,7,5.563193
-5.0,10,5.583798
-7.0,1,5.583798
100.0,43,5.669789
22.0,9,5.686112
0.0,7,5.702025
21.0,6,5.712565
89.0,44,5.789172
6.0,8,5.803223
87.0,46,5.895971
-6.0,5,5.90513
21.0,19,5.942792
1.0,14,5.96784
6.0,5,5.982409
127.0,27,6.032649
-11.0,3,6.040647
10.0,14,6.074749
-6.0,41,6.163177
248.0,98,6.340563
-9.0,2,6.347576
-17.0,6,6.356112
-2.0,7,6.37282
2.0,8,6.390878
-22.0,4,6.398401
-15.0,1,6.399401
