#{"t_start": 1775123410.7740228, "env_id": "None"}
r,l,t
-6.0,22,0.044999
110.0,28,0.083178
56.0,27,0.124945
-1.0,8,0.138022
3.0,9,0.147538
-15.0,1,0.149534
-1.0,8,0.162153
18.0,20,0.192259
-8.0,3,0.196261
83.0,29,0.229023
112.0,57,0.288093
99.0,60,0.350175
-9.0,9,0.359754
-15.0,1,0.360764
9.0,7,0.368278
-15.0,1,0.37028
-6.0,6,0.37582
-8.0,5,0.380829
11.0,7,0.388384
9.0,20,0.410891
1.0,17,0.430078
33.0,23,0.45316
-9.0,1,0.455186
320.0,200,0.655948
95.0,25,0.681536
6.0,26,0.706645
58.0,70,0.773725
-5.0,7,0.780298
344.0,200,0.976646
14.0,26,1.002256
10.0,13,1.014868
4.0,4,1.019422
125.0,64,1.080288
1.0,2,1.082286
230.0,200,1.270137
-15.0,1,1.271137
86.0,30,1.299276
-22.0,4,1.303278
-3.0,4,1.307812
-1.0,6,1.313243
-12.0,3,1.316751
21.0,20,1.334297
-11.0,11,1.346337
-12.0,9,1.358896
-9.0,1,1.359896
-15.0,1,1.360896
-9.0,17,1.37795
-15.0,3,1.380959
2.0,3,1.38396
-8.0,14,1.396517
15.0,7,1.40357
-20.0,12,1.415126
67.0,24,1.435858
146.0,26,1.460557
6.0,10,1.471059
41.0,22,1.491116
-2.0,20,1.5107
38.0,42,1.550025
-15.0,1,1.551025
10.0,28,1.576724
-6.0,2,1.578762
-19.0,24,1.601339
284.0,200,1.81123
65.0,69,1.890421
1.0,23,1.917565
261.0,200,2.122333
64.0,28,4.646123
-9.0,1,4.648137
-15.0,7,4.659667
142.0,52,4.750952
9.0,7,4.764478
2.0,16,4.79209
-9.0,2,4.794604
-3.0,15,4.814194
-9.0,1,4.816195
-14.0,3,4.819706
112.0,44,4.872383
11.0,13,4.88945
101.0,49,4.948191
0.0,1,4.949189
227.0,149,5.112706
-15.0,2,5.114706
-13.0,1,5.116215
-2.0,12,5.128766
106.0,39,5.169821
-7.0,2,5.17181
-16.0,2,5.17481
-6.0,10,5.184325
85.0,33,5.22024
8.0,2,5.222247
158.0,31,5.253966
-11.0,9,5.26349
28.0,21,5.284553
3.0,5,5.290083
-14.0,4,5.294602
-2.0,16,5.310662
287.0,150,5.467751
-11.0,3,5.470746
-3.0,37,5.506474
8.0,7,5.513483
373.0,188,5.700079
-14.0,2,5.70208
311.0,200,5.894779
-5.0,12,5.905821
86.0,51,5.953694
84.0,15,5.968843
4.0,16,5.984409
150.0,51,6.037356
-8.0,2,6.039366
21.0,17,6.059431
0.0,5,6.064431
40.0,34,6.106885
-12.0,8,6.115886
8.0,14,6.132494
39.0,20,6.158125
0.0,1,6.159127
0.0,5,6.166124
0.0,3,6.169657
-9.0,1,6.170657
-10.0,1,6.172658
1.0,8,6.182193
21.0,22,6.203864
97.0,63,6.267689
13.0,6,6.274688
-8.0,12,6.292352
-5.0,2,6.294649
15.0,10,6.308342
-8.0,2,6.310335
21.0,12,6.325883
-15.0,3,6.330063
12.0,21,6.356641
-5.0,11,6.371207
117.0,43,6.426343
14.0,17,6.445891
-9.0,1,6.4464
143.0,37,6.486523
20.0,7,6.495058
196.0,64,6.574492
-14.0,10,6.589155
39.0,23,6.619276
-8.0,2,6.621276
17.0,12,6.63935
-4.0,3,6.643351
93.0,43,6.697069
9.0,6,6.703079
43.0,29,6.733737
50.0,26,6.760508
-21.0,5,6.766057
0.0,1,6.767077
-21.0,6,6.775069
88.0,55,6.848418
-11.0,3,6.852417
1.0,3,6.856936
-5.0,6,6.864945
31.0,12,6.882
-1.0,16,6.904306
-1.0,2,6.907831
356.0,200,10.395996
116.0,42,10.46244
163.0,42,10.525999
103.0,34,10.573026
-15.0,1,10.575026
2.0,9,10.586073
-12.0,2,10.588086
81.0,27,10.621254
171.0,62,10.694551
61.0,32,10.731715
107.0,31,10.765818
-14.0,5,10.771841
79.0,22,10.795992
83.0,39,10.847692
-6.0,15,10.869789
0.0,9,10.883037
10.0,2,10.886032
-5.0,8,10.897842
0.0,10,10.911037
138.0,38,10.967648
-5.0,9,10.979183
143.0,34,11.01681
5.0,7,11.024808
-2.0,8,11.03332
171.0,101,11.142179
69.0,26,11.16872
13.0,7,11.176225
12.0,6,11.183238
44.0,48,11.232278
349.0,200,11.43288
-9.0,5,11.437477
8.0,22,11.458665
-2.0,5,11.463636
19.0,12,11.475255
1.0,2,11.477806
25.0,6,11.483838
