#{"t_start": 1775121232.9489343, "env_id": "None"}
r,l,t
-2.0,10,0.008017
327.0,200,0.171275
-13.0,6,0.176272
151.0,88,0.293467
4.0,6,0.306088
-7.0,1,0.307089
-10.0,11,0.320232
-13.0,1,0.32127
0.0,5,0.326241
7.0,13,0.34839
-28.0,26,0.385169
-8.0,2,0.392691
-7.0,5,0.399691
34.0,37,0.452964
386.0,200,0.728561
261.0,139,0.948272
-2.0,1,0.950841
39.0,25,0.987934
-14.0,17,1.027918
369.0,200,1.391213
15.0,24,1.434316
92.0,27,1.468401
-5.0,13,1.491009
157.0,65,1.591908
-12.0,4,1.597904
11.0,6,1.605462
-9.0,1,1.610013
60.0,24,1.645271
590.0,200,1.974868
56.0,21,2.005631
4.0,29,2.058481
-17.0,4,2.065561
38.0,16,2.096222
551.0,200,2.416947
622.0,200,2.74982
16.0,14,2.770068
8.0,13,2.78861
661.0,200,3.342716
-16.0,2,3.343718
-9.0,19,3.384047
395.0,104,3.575499
611.0,200,3.936809
-9.0,2,3.942331
157.0,48,4.024534
50.0,18,4.06285
-6.0,2,4.067372
0.0,1,4.068372
50.0,44,4.142732
24.0,13,4.160734
256.0,52,4.263879
163.0,56,4.364889
16.0,13,4.390112
144.0,39,4.466013
332.0,79,4.615114
728.0,200,4.94792
825.0,200,5.425809
306.0,66,5.54465
244.0,61,5.654905
179.0,48,5.749412
388.0,79,5.903879
609.0,123,6.147207
709.0,136,6.455701
968.0,200,6.82819
617.0,116,7.047086
22.0,8,7.065147
442.0,84,7.243757
55.0,25,7.29455
932.0,200,7.72408
1040.0,200,8.147685
1067.0,200,8.523492
4.0,8,8.540563
-5.0,2,8.549611
1101.0,200,8.961032
1.0,2,8.962044
1211.0,200,9.36382
0.0,1,9.370922
46.0,21,9.417268
1221.0,200,9.77568
5.0,7,9.794755
1195.0,200,10.163077
-15.0,1,10.163077
-15.0,1,10.163077
-6.0,6,10.174233
1106.0,200,10.640868
12.0,4,10.650403
1128.0,200,11.083956
526.0,92,11.311707
254.0,44,11.411537
1010.0,177,11.914379
25.0,23,11.982558
1196.0,200,12.479772
1141.0,200,12.947698
7.0,3,12.950209
0.0,17,12.988331
-5.0,2,12.991854
-4.0,4,13.001373
1209.0,200,13.465464
438.0,82,13.660966
15.0,7,13.672521
1119.0,200,14.127479
-15.0,1,14.135016
0.0,1,14.137015
0.0,3,14.145538
1173.0,200,14.621408
0.0,4,14.631935
16.0,3,14.633929
1239.0,200,15.09428
1134.0,198,15.547491
1175.0,200,15.984935
25.0,6,15.993499
1164.0,200,16.405613
5.0,5,16.418169
284.0,53,16.530088
1156.0,200,16.931099
1127.0,200,17.381543
18.0,11,17.40967
1188.0,200,17.797625
255.0,46,17.895202
1.0,2,17.903808
232.0,200,18.225136
1184.0,200,18.603362
10.0,6,18.61197
101.0,78,18.740812
453.0,83,18.907014
1221.0,200,19.31311
-2.0,1,19.319692
1230.0,200,19.696926
1151.0,200,20.064867
-15.0,1,20.065868
16.0,26,20.105665
1192.0,200,20.526452
