#{"t_start": 1775124138.8887954, "env_id": "None"}
r,l,t
-6.0,22,0.036697
110.0,28,0.077827
56.0,27,0.117494
-1.0,8,0.127021
3.0,9,0.139556
-15.0,1,0.142067
-1.0,8,0.151602
18.0,20,0.177665
-8.0,3,0.180665
83.0,29,0.216314
112.0,57,0.270917
99.0,60,0.329606
-9.0,9,0.340138
-15.0,1,0.341655
9.0,7,0.348674
-15.0,1,0.349673
-6.0,6,0.356199
-8.0,5,0.361716
11.0,7,0.369732
9.0,20,0.389788
1.0,17,0.406847
33.0,23,0.430434
-9.0,1,0.430434
320.0,200,0.617132
95.0,25,0.639231
6.0,26,0.663918
58.0,70,0.728565
-5.0,7,0.735091
344.0,200,0.915687
14.0,26,0.938737
10.0,13,0.95026
4.0,4,0.953789
125.0,64,1.010142
1.0,2,1.01269
230.0,200,1.238008
-15.0,1,1.240008
86.0,30,1.2696
-22.0,4,1.273128
-3.0,4,1.278127
-1.0,6,1.284431
-12.0,3,1.287428
21.0,20,1.316573
-11.0,11,1.330118
-12.0,9,1.341645
-9.0,1,1.343026
-15.0,1,1.345025
-9.0,17,1.364652
-15.0,3,1.36765
2.0,3,1.371655
-8.0,14,1.388969
15.0,7,1.398503
-20.0,12,1.414856
67.0,24,1.446111
146.0,26,1.474789
6.0,10,1.484872
41.0,22,1.506988
-2.0,20,1.528719
38.0,42,1.576816
-15.0,1,1.578809
10.0,28,1.611596
-6.0,2,1.614606
-19.0,24,1.644323
284.0,200,1.859035
65.0,69,1.937762
1.0,23,1.964805
261.0,200,2.181734
161.0,62,2.245987
-13.0,20,2.268764
-7.0,6,2.276837
-14.0,8,2.286009
43.0,38,2.332228
3.0,4,2.338241
7.0,33,2.381641
25.0,23,2.406632
-20.0,4,2.410218
302.0,200,2.609702
93.0,37,2.645028
75.0,34,2.687882
-15.0,1,2.689881
115.0,31,2.731542
-6.0,9,2.743084
77.0,25,2.776104
83.0,22,2.80189
-7.0,14,2.818943
-17.0,9,2.82854
-3.0,2,2.830538
52.0,41,2.870847
-11.0,3,2.873431
24.0,13,2.887015
7.0,31,2.917854
10.0,14,2.930436
77.0,45,2.97532
-4.0,4,2.979355
-12.0,6,2.984938
-15.0,1,2.985942
-20.0,13,2.998486
49.0,44,3.039403
74.0,47,3.087724
131.0,62,3.162697
67.0,24,3.192842
-13.0,16,3.213777
235.0,200,3.417503
40.0,19,3.438636
4.0,12,3.45273
74.0,81,3.539068
126.0,43,3.5922
-8.0,5,3.600244
-1.0,6,3.608781
5.0,12,3.62609
122.0,89,3.759472
-14.0,2,3.760473
2.0,3,3.764988
-9.0,3,3.767988
-9.0,1,3.768992
-6.0,9,3.778508
-5.0,8,3.78702
127.0,35,3.823369
-15.0,1,3.825369
-5.0,3,3.828368
2.0,3,3.831911
-13.0,1,3.83292
290.0,196,4.029047
11.0,8,4.036631
246.0,132,4.195595
10.0,12,4.21162
-1.0,2,4.214631
1.0,5,4.21963
-9.0,1,4.221631
36.0,20,4.245027
-10.0,1,4.246027
4.0,7,4.253583
10.0,8,4.262127
-4.0,5,4.267131
-1.0,5,4.27269
-15.0,1,4.273725
-12.0,2,4.275726
52.0,34,4.30987
6.0,19,4.329084
-13.0,5,4.333626
-1.0,5,4.339628
-13.0,8,4.348181
276.0,200,9.720769
119.0,43,9.78178
39.0,25,9.81658
2.0,7,9.82698
-5.0,23,9.858568
115.0,41,9.904479
68.0,46,9.954576
29.0,33,9.990338
6.0,6,9.996897
-17.0,3,9.999895
0.0,36,10.037398
4.0,3,10.040398
16.0,19,10.060588
-8.0,4,10.06517
-9.0,7,10.072722
-7.0,7,10.079756
-13.0,1,10.080756
103.0,34,10.116359
-21.0,10,10.125917
147.0,45,10.170824
-17.0,4,10.175382
390.0,200,10.369792
-14.0,13,10.382886
137.0,43,10.422777
-6.0,4,10.426816
-9.0,1,10.427819
8.0,9,10.435404
132.0,58,10.490357
42.0,19,10.508211
-10.0,8,10.515342
48.0,50,10.560705
159.0,49,10.60753
-4.0,5,10.613024
-9.0,11,10.623687
3.0,18,10.64021
100.0,33,10.670792
-16.0,2,10.672309
316.0,200,10.854742
-19.0,3,10.857744
29.0,26,10.88193
106.0,38,10.916166
15.0,18,10.932289
60.0,48,10.975636
0.0,19,10.992774
40.0,37,11.026101
415.0,200,11.205677
-15.0,1,11.206677
-9.0,3,11.209677
5.0,14,11.222377
130.0,41,11.259202
-6.0,7,11.265757
213.0,106,11.360675
30.0,12,11.371767
53.0,28,11.396992
196.0,100,11.488951
-3.0,6,11.494555
114.0,25,11.517288
22.0,14,11.528923
235.0,119,11.635925
105.0,51,11.681883
-3.0,4,11.686472
4.0,6,11.690473
-9.0,1,11.693029
-3.0,3,11.695061
89.0,34,11.725245
6.0,6,11.73024
220.0,113,11.83371
-2.0,1,11.834709
132.0,44,11.874068
8.0,4,11.878069
161.0,39,11.913428
3.0,9,11.92154
-4.0,6,11.927587
-8.0,5,11.931586
-15.0,3,11.93472
-5.0,9,11.943307
-4.0,11,11.952888
-13.0,1,11.953894
0.0,9,11.961896
-15.0,1,11.963165
0.0,7,11.969206
-18.0,3,11.971745
17.0,29,11.998967
5.0,11,12.008559
12.0,6,12.01415
143.0,97,12.100224
-4.0,5,12.105819
94.0,29,12.132118
0.0,1,12.133121
133.0,60,12.186689
-8.0,2,12.188686
-10.0,4,12.192238
-8.0,2,12.194277
-9.0,6,12.199272
-4.0,7,12.205867
-16.0,6,12.210871
-13.0,5,12.216365
3.0,6,12.22089
-4.0,2,12.223416
119.0,36,12.255821
133.0,47,12.299674
192.0,63,12.356729
4.0,3,12.358729
171.0,71,12.423091
27.0,30,12.450315
141.0,44,12.49165
-3.0,10,12.499696
-14.0,3,12.503284
-11.0,3,12.506285
154.0,73,12.570387
189.0,63,12.626872
-9.0,1,12.628878
283.0,159,12.770178
-14.0,2,12.77271
-13.0,6,12.778702
-12.0,2,12.780701
-2.0,7,12.787261
-3.0,2,12.789262
18.0,6,12.794855
6.0,22,12.815001
18.0,11,12.823904
72.0,29,12.85064
-3.0,6,12.85623
21.0,8,12.863794
14.0,7,12.869792
40.0,20,12.886977
27.0,19,12.905122
266.0,163,13.051534
270.0,135,13.172696
-12.0,5,13.176734
-8.0,4,13.180734
1.0,8,13.187319
-12.0,2,13.189324
51.0,22,13.208498
-6.0,4,13.212044
-12.0,4,13.216092
7.0,18,13.232816
-18.0,2,13.233854
0.0,1,13.234861
239.0,131,13.356387
221.0,127,18.59211
112.0,29,18.640767
518.0,200,18.924445
8.0,17,18.944632
157.0,61,19.013706
122.0,44,19.062793
1.0,2,19.065794
80.0,19,19.086009
-5.0,2,19.089007
18.0,5,19.093596
3.0,6,19.100595
-1.0,5,19.106183
-2.0,7,19.112732
193.0,78,19.194034
155.0,45,19.239613
-6.0,22,19.261782
-10.0,1,19.262329
369.0,160,19.422756
183.0,44,19.47005
0.0,8,19.479646
-4.0,3,19.483199
155.0,47,19.532943
11.0,12,19.545571
375.0,200,19.760005
1.0,10,19.769559
-3.0,2,19.771602
-11.0,3,19.774205
183.0,108,19.880028
198.0,72,19.948863
3.0,8,19.95642
-2.0,7,19.962974
203.0,59,20.017498
-9.0,1,20.018496
446.0,200,20.207323
11.0,3,20.210317
-7.0,4,20.21391
-2.0,7,20.219909
140.0,57,20.272012
-9.0,1,20.273019
-12.0,2,20.274055
416.0,200,20.452231
-2.0,7,20.45928
96.0,53,20.506201
2.0,7,20.512758
439.0,200,20.685314
25.0,12,20.695904
-10.0,5,20.700904
513.0,200,20.871611
18.0,5,20.876192
-15.0,5,20.880192
10.0,24,20.900938
33.0,15,20.914072
66.0,26,20.937248
-16.0,4,20.940251
-1.0,2,20.942806
0.0,3,20.944843
10.0,8,20.951802
46.0,21,20.969942
0.0,1,20.970942
-1.0,9,20.978524
-7.0,10,20.988095
468.0,200,21.158949
7.0,10,21.168534
57.0,22,21.187633
-7.0,34,21.216404
-15.0,1,21.217405
-15.0,1,21.218405
-9.0,1,21.219375
165.0,57,21.269186
140.0,38,21.305053
33.0,15,21.318674
362.0,175,21.469641
32.0,36,21.500269
162.0,50,21.544673
4.0,4,21.548678
389.0,200,21.722239
102.0,36,21.753106
-7.0,3,21.756136
-12.0,2,21.757136
-16.0,18,21.772265
-12.0,4,21.776299
195.0,59,21.826271
-31.0,11,21.83585
65.0,33,21.865545
477.0,200,22.037263
52.0,17,22.052349
-6.0,13,22.06489
2.0,6,22.06989
4.0,12,22.080414
155.0,38,22.114661
-2.0,4,22.118661
444.0,200,22.291571
-10.0,10,22.300159
-3.0,4,22.303749
60.0,20,22.320292
104.0,28,22.346619
0.0,6,22.351623
166.0,54,22.397504
-12.0,2,22.398504
59.0,32,22.426769
257.0,75,27.12741
548.0,200,27.373482
-13.0,5,27.379481
-7.0,4,27.383996
1.0,10,27.393508
8.0,4,27.398502
36.0,17,27.415537
8.0,31,27.445761
-4.0,11,27.456345
-18.0,4,27.460345
5.0,29,27.48809
261.0,76,27.55879
344.0,104,27.654831
201.0,52,27.703244
23.0,15,27.716778
255.0,68,27.777454
-13.0,1,27.778454
14.0,9,27.786982
33.0,16,27.801512
7.0,9,27.810035
21.0,8,27.817563
-9.0,2,27.819564
-14.0,2,27.821562
-6.0,11,27.830085
167.0,54,27.877243
24.0,7,27.883818
205.0,81,27.955362
284.0,109,28.049783
-3.0,19,28.065918
-20.0,2,28.067951
144.0,42,28.107622
8.0,8,28.114741
32.0,26,28.137443
26.0,20,28.154609
270.0,77,28.223274
25.0,19,28.239343
2.0,9,28.246925
0.0,1,28.247925
32.0,22,28.268044
-11.0,16,28.28164
-19.0,8,28.288237
-8.0,10,28.296823
494.0,200,28.464356
-12.0,7,28.470389
146.0,64,28.523676
-9.0,2,28.525675
-2.0,3,28.528675
102.0,22,28.547247
8.0,8,28.553777
4.0,13,28.564297
123.0,46,28.602375
-8.0,7,28.608391
0.0,1,28.60939
451.0,200,28.777504
200.0,50,28.82078
7.0,8,28.828335
-8.0,3,28.830359
38.0,19,28.84709
527.0,200,29.016473
121.0,49,29.058362
-13.0,9,29.065876
-12.0,4,29.06991
-7.0,1,29.070912
3.0,9,29.078495
9.0,14,29.089093
-9.0,3,29.092648
13.0,23,29.111686
166.0,50,29.153635
-2.0,23,29.172778
15.0,17,29.187207
71.0,30,29.212472
4.0,29,29.238172
59.0,24,29.25822
195.0,55,29.303971
494.0,200,29.472245
125.0,67,29.528244
-9.0,1,29.529242
9.0,3,29.531745
-4.0,4,29.534791
307.0,131,29.645215
-7.0,1,29.646218
-14.0,13,29.656769
11.0,12,29.666369
29.0,12,29.676934
-8.0,3,29.679936
-7.0,3,29.681941
50.0,29,29.706891
269.0,88,29.780397
-15.0,1,29.781907
184.0,45,29.818502
184.0,36,29.849643
-13.0,5,29.854229
-14.0,2,29.856224
76.0,38,29.886943
-10.0,4,29.89091
0.0,9,29.898083
371.0,131,30.009634
543.0,200,30.210218
-5.0,2,30.212804
165.0,58,30.272184
211.0,64,30.332614
498.0,189,30.499973
-9.0,2,30.502593
-1.0,4,30.505594
-9.0,1,30.506594
-7.0,2,30.508593
139.0,42,30.544495
93.0,43,30.581726
0.0,1,30.582737
13.0,12,30.593261
292.0,83,30.663608
323.0,84,30.734439
207.0,57,35.262844
-7.0,9,35.277376
240.0,63,35.37619
87.0,18,35.40678
-9.0,3,35.41078
8.0,2,35.414305
8.0,20,35.438371
627.0,200,35.66057
11.0,7,35.667079
-10.0,4,35.671583
213.0,60,35.728464
83.0,28,35.755777
310.0,100,35.848237
355.0,106,35.941659
365.0,87,36.01828
258.0,71,36.078254
-8.0,6,36.083819
55.0,18,36.098953
362.0,118,36.200994
-5.0,2,36.202999
578.0,200,36.370046
-9.0,13,36.382106
44.0,15,36.395657
30.0,50,36.436828
235.0,63,36.488914
67.0,26,36.510927
607.0,200,36.6766
279.0,102,36.762148
-12.0,6,36.768166
171.0,48,36.808367
264.0,59,36.857495
239.0,76,36.92209
275.0,66,36.976668
6.0,8,36.982747
44.0,14,36.993349
73.0,33,37.021867
499.0,150,37.143662
256.0,76,37.205329
-3.0,17,37.218855
