#{"t_start": 1775123536.9619246, "env_id": "None"}
r,l,t
-6.0,22,0.059842
110.0,28,0.105011
56.0,27,0.149846
-1.0,8,0.1644
3.0,9,0.176931
-15.0,1,0.179473
-1.0,8,0.194028
18.0,20,0.22263
-8.0,3,0.226628
83.0,29,0.263781
112.0,57,0.337159
99.0,60,0.418934
-9.0,9,0.428968
-15.0,1,0.430971
9.0,7,0.43851
-15.0,1,0.440565
-6.0,6,0.448042
-8.0,5,0.456073
11.0,7,0.464627
9.0,20,0.490227
1.0,17,0.513328
33.0,23,0.543456
-9.0,1,0.545451
320.0,200,0.780912
95.0,25,0.810524
6.0,26,0.840647
58.0,70,0.917318
-5.0,7,0.926377
344.0,200,1.146723
14.0,26,1.175422
10.0,13,1.188524
4.0,4,1.193556
125.0,64,1.262
1.0,2,1.264001
230.0,200,1.460031
-15.0,1,1.462031
86.0,30,1.490587
-22.0,4,1.494587
-3.0,4,1.499117
-1.0,6,1.505959
-12.0,3,1.508504
21.0,20,1.526734
-11.0,11,1.538804
-12.0,9,1.548311
-9.0,1,1.549319
-15.0,1,1.550363
-9.0,17,1.565942
-15.0,3,1.569495
2.0,3,1.572495
-8.0,14,1.586081
15.0,7,1.592606
-20.0,12,1.604196
67.0,24,1.628474
146.0,26,1.652658
6.0,10,1.663246
41.0,22,1.68441
-2.0,20,1.703534
38.0,42,1.743458
-15.0,1,1.744461
10.0,28,1.770212
-6.0,2,1.772189
-19.0,24,1.794312
284.0,200,1.977084
65.0,69,2.04712
1.0,23,2.068765
261.0,200,2.256482
161.0,62,4.916843
-15.0,20,4.94604
-7.0,6,4.954604
-14.0,8,4.964196
48.0,46,5.033766
-2.0,11,5.048363
55.0,32,5.08672
424.0,200,5.313995
-10.0,2,5.316994
18.0,18,5.336662
-12.0,2,5.340221
-17.0,6,5.347224
4.0,6,5.352809
-22.0,11,5.3654
4.0,4,5.368947
16.0,26,5.397129
-12.0,2,5.399683
184.0,42,5.44275
2.0,5,5.448296
73.0,28,5.478053
14.0,5,5.4841
64.0,28,5.512807
-13.0,5,5.516805
-8.0,4,5.521391
-15.0,1,5.523394
-8.0,10,5.533525
-7.0,3,5.536528
53.0,34,5.570884
-19.0,3,5.573883
27.0,13,5.586473
194.0,89,5.678302
