#{"t_start": 1775120747.2834818, "env_id": "None"}
r,l,t
-2.0,10,0.038425
234.0,166,0.143993
-6.0,4,0.150516
-8.0,21,0.18073
1.0,15,0.198938
77.0,48,0.26695
77.0,28,0.303647
6.0,5,0.314785
-9.0,1,0.315829
-12.0,7,0.32531
6.0,21,0.354578
-11.0,3,0.360608
-8.0,2,0.361607
19.0,4,0.367209
-6.0,15,0.392245
82.0,27,0.437046
1.0,8,0.450567
5.0,9,0.466621
-18.0,2,0.467637
117.0,28,0.526841
143.0,38,0.623237
-10.0,2,0.624748
8.0,4,0.63481
-6.0,3,0.643833
340.0,200,1.083632
12.0,10,1.110241
-9.0,1,1.110241
129.0,49,1.21884
39.0,52,1.324733
-3.0,2,1.332787
85.0,31,1.387987
-7.0,1,1.397547
-13.0,1,1.397547
57.0,31,1.455334
8.0,9,1.471891
0.0,5,1.47942
96.0,32,1.542846
-15.0,5,1.553379
-12.0,2,1.565443
112.0,30,1.619773
-3.0,16,1.650875
11.0,3,1.658398
57.0,29,1.702809
217.0,54,1.805426
-3.0,6,1.814997
138.0,46,1.889571
9.0,10,1.9012
-2.0,4,1.905771
-9.0,1,1.91177
14.0,13,1.928336
34.0,30,1.967644
7.0,26,2.022276
-15.0,1,2.022276
7.0,17,2.042839
331.0,145,2.295146
105.0,37,2.349382
-16.0,12,2.370491
-7.0,3,2.374961
14.0,19,2.399039
-14.0,4,2.405566
2.0,21,2.441657
124.0,45,2.507437
24.0,44,2.578599
302.0,134,2.765953
-1.0,4,2.769999
-14.0,2,2.774509
-3.0,4,2.780526
184.0,73,2.887976
3.0,4,2.895492
37.0,27,2.94038
127.0,33,2.982681
15.0,11,2.996864
22.0,13,3.012385
-20.0,11,3.026503
415.0,200,3.330089
-8.0,6,3.338612
412.0,200,3.677678
251.0,113,3.86113
-12.0,2,3.862125
2.0,12,3.883187
226.0,95,4.058501
-11.0,10,4.076544
68.0,37,4.152666
-8.0,3,4.154664
539.0,194,4.516497
1.0,13,4.540082
25.0,13,4.562137
497.0,200,4.894536
37.0,8,4.907587
145.0,47,4.990309
370.0,104,5.161915
274.0,70,5.281201
-9.0,1,5.281201
-5.0,12,5.30125
64.0,24,5.345338
-5.0,3,5.350352
338.0,74,5.464676
8.0,9,5.480221
8.0,8,5.48981
-11.0,4,5.494807
3.0,14,5.517176
-6.0,2,5.51918
5.0,6,5.533203
-6.0,2,5.534708
19.0,6,5.547258
154.0,48,5.617128
8.0,2,5.618128
18.0,13,5.644863
-13.0,4,5.653416
602.0,200,5.973661
469.0,164,6.222876
428.0,120,6.41271
7.0,8,6.427858
18.0,10,6.441604
641.0,200,6.759116
228.0,54,6.846487
27.0,41,6.916152
159.0,33,6.9749
661.0,200,7.301416
7.0,8,7.315586
70.0,28,7.363375
21.0,4,7.371965
-17.0,3,7.377554
0.0,3,7.381553
-15.0,1,7.381553
283.0,64,7.488785
-18.0,4,7.496278
-5.0,2,7.497291
-7.0,2,7.502288
11.0,3,7.508864
607.0,170,7.767181
368.0,95,7.93521
23.0,10,7.951859
-14.0,5,7.963347
732.0,200,8.289684
-11.0,6,8.298305
-8.0,2,8.305828
142.0,36,8.35913
720.0,184,8.654835
58.0,17,8.679918
313.0,72,8.788848
6.0,10,8.799352
-4.0,3,8.805875
-13.0,4,8.815386
-17.0,7,8.831928
22.0,5,8.841007
14.0,22,8.883209
780.0,200,9.206608
-8.0,2,9.207606
95.0,25,9.24935
200.0,39,9.324667
374.0,95,9.521548
431.0,93,9.698806
54.0,21,9.739519
171.0,39,9.806677
-10.0,3,9.815184
8.0,4,9.82219
-9.0,1,9.823189
-28.0,11,9.848286
15.0,4,9.856812
-10.0,3,9.865316
-15.0,1,9.866322
-8.0,2,9.867316
344.0,77,10.017132
268.0,61,10.118247
174.0,48,10.198723
-18.0,2,10.200755
930.0,200,10.537406
-5.0,24,10.578687
-12.0,9,10.593223
-19.0,3,10.595746
544.0,125,10.820929
-5.0,8,10.84154
457.0,103,11.056647
200.0,51,11.168104
223.0,56,11.28905
303.0,74,11.444622
987.0,200,11.903656
6.0,2,11.906181
-17.0,3,11.917741
3.0,4,11.931279
31.0,8,11.954884
349.0,68,12.157282
-14.0,2,12.15929
-15.0,1,12.164809
56.0,16,12.199474
2.0,7,12.210016
367.0,64,12.364954
-15.0,1,12.373979
-9.0,1,12.375484
-9.0,1,12.376504
290.0,59,12.502444
-24.0,4,12.511986
522.0,120,12.780419
548.0,110,13.049374
