#{"t_start": 1775123288.6454012, "env_id": "None"}
r,l,t
-6.0,22,0.110675
110.0,28,0.153782
56.0,27,0.201896
-1.0,8,0.215018
3.0,9,0.225591
-15.0,1,0.228585
-1.0,8,0.243213
18.0,20,0.270916
-8.0,3,0.275444
83.0,29,0.31058
112.0,57,0.396513
99.0,60,0.486176
-9.0,9,0.498757
-15.0,1,0.499758
9.0,7,0.507945
-15.0,1,0.509948
-6.0,6,0.516537
-8.0,5,0.522504
11.0,7,0.53087
9.0,20,0.554598
1.0,17,0.574759
33.0,23,0.599983
-9.0,1,0.602499
320.0,200,0.843007
95.0,25,0.879509
6.0,26,0.913443
58.0,70,0.990794
-5.0,7,0.999365
344.0,200,1.230983
14.0,26,1.267498
10.0,13,1.283764
4.0,4,1.2899
125.0,64,1.360477
1.0,2,1.362474
230.0,200,1.583461
-15.0,1,1.585649
86.0,30,1.621276
-22.0,4,1.626806
-3.0,4,1.631836
-1.0,6,1.640074
-12.0,3,1.643075
21.0,20,1.669677
-11.0,11,1.683309
-12.0,9,1.694449
-9.0,1,1.696501
-15.0,1,1.699498
-9.0,17,1.719588
-15.0,3,1.722591
2.0,3,1.727115
-8.0,14,1.742647
15.0,7,1.751107
-20.0,12,1.765219
67.0,24,1.795963
146.0,26,1.823168
6.0,10,1.832754
41.0,22,1.856477
-2.0,20,1.877621
38.0,42,1.920615
-15.0,1,1.921619
10.0,28,1.950297
-6.0,2,1.952301
-19.0,24,1.977056
284.0,200,2.175046
65.0,69,2.242455
1.0,23,2.264621
261.0,200,2.458069
49.0,29,5.019742
-10.0,1,5.021742
-21.0,3,5.028279
144.0,50,5.10095
19.0,8,5.114491
14.0,22,5.147082
26.0,10,5.161608
-15.0,5,5.168136
20.0,11,5.18166
-11.0,7,5.191183
2.0,9,5.201718
48.0,21,5.226839
-3.0,2,5.22984
-13.0,7,5.23837
110.0,42,5.288034
99.0,76,5.372511
3.0,12,5.384647
-4.0,3,5.388694
-21.0,5,5.39366
29.0,13,5.408787
-9.0,4,5.413306
-7.0,6,5.419837
334.0,186,5.613335
321.0,200,5.817217
1.0,13,5.830748
6.0,9,5.839274
-10.0,2,5.841274
379.0,200,6.035624
6.0,6,6.041662
-5.0,2,6.043662
-1.0,4,6.048216
-15.0,7,6.054798
-9.0,7,6.060808
2.0,4,6.065317
352.0,200,6.252765
9.0,14,6.266825
-7.0,3,6.269823
-7.0,1,6.270826
-16.0,18,6.28787
-16.0,4,6.291865
34.0,9,6.299376
12.0,10,6.308892
9.0,9,6.317933
-13.0,3,6.320935
381.0,200,6.504676
136.0,88,6.588728
-8.0,7,6.5947
9.0,7,6.601171
4.0,17,6.616781
0.0,1,6.617782
207.0,70,6.684751
149.0,38,6.72298
31.0,11,6.733538
-12.0,4,6.739058
13.0,30,6.768631
126.0,77,6.853046
93.0,47,6.90631
-7.0,5,6.911842
0.0,3,6.915364
19.0,40,6.959517
-14.0,2,6.962516
-9.0,1,6.963516
170.0,68,7.041277
132.0,48,7.09445
26.0,9,7.103462
4.0,8,7.11148
-7.0,14,7.126513
-26.0,16,9.836884
11.0,11,9.851396
53.0,32,9.904564
385.0,200,10.153426
397.0,200,10.369326
75.0,27,10.395866
-9.0,1,10.396865
-10.0,5,10.401861
6.0,12,10.414544
9.0,9,10.423558
166.0,49,10.4733
178.0,50,10.525982
-4.0,3,10.530026
72.0,18,10.548126
-1.0,2,10.550126
244.0,123,10.668933
-15.0,1,10.670926
0.0,12,10.682437
11.0,4,10.686988
116.0,55,10.740165
116.0,42,10.782398
13.0,14,10.79553
342.0,200,10.987261
53.0,25,11.011045
52.0,24,11.033134
11.0,5,11.038664
-24.0,14,11.052191
-4.0,5,11.056782
452.0,200,11.240853
-14.0,9,11.249383
-5.0,8,11.256911
16.0,32,11.287602
171.0,54,11.339747
284.0,116,11.447968
-6.0,32,11.481555
9.0,3,11.48507
-12.0,2,11.487106
-1.0,13,11.505124
396.0,177,11.67164
-9.0,11,11.681158
14.0,11,11.691686
-16.0,6,11.698205
120.0,60,11.759804
456.0,200,14.945242
192.0,73,15.073245
2.0,3,15.077791
65.0,21,15.102849
227.0,52,15.161513
-13.0,1,15.163513
293.0,112,15.286939
179.0,44,15.333536
-9.0,1,15.335056
-9.0,1,15.336063
-9.0,2,15.338058
385.0,177,15.526495
-9.0,2,15.529495
11.0,14,15.542732
3.0,10,15.553137
192.0,52,15.606638
3.0,8,15.614822
-11.0,3,15.61787
-2.0,1,15.618872
6.0,18,15.637956
-9.0,1,15.638987
32.0,14,15.652544
-12.0,2,15.655127
168.0,70,15.725328
-29.0,13,15.738947
-2.0,5,15.742946
3.0,4,15.747538
520.0,200,15.940295
51.0,11,15.951885
15.0,23,15.972999
29.0,23,15.995734
53.0,18,16.012924
481.0,200,16.197907
-6.0,4,16.201905
-4.0,23,16.223589
-13.0,1,16.225108
-12.0,2,16.227115
139.0,71,16.29452
-16.0,2,16.297563
-8.0,2,16.298562
-3.0,5,16.303562
-7.0,3,16.307146
41.0,21,16.325872
139.0,58,16.380581
51.0,17,16.396639
9.0,9,16.405156
-4.0,17,16.422215
81.0,25,16.445801
121.0,41,16.482985
82.0,33,16.513099
-6.0,14,16.526153
116.0,45,16.566261
527.0,200,16.75329
255.0,68,16.818601
8.0,12,16.829962
-15.0,2,16.831962
479.0,200,19.9668
-10.0,4,19.976348
-3.0,10,19.997462
675.0,200,20.269533
-13.0,1,20.270533
352.0,114,20.405069
159.0,51,20.461481
-10.0,17,20.478653
34.0,20,20.501757
332.0,107,20.615216
202.0,50,20.666904
613.0,200,20.867628
-1.0,2,20.869632
7.0,3,20.872628
12.0,20,20.891804
120.0,55,20.944741
-5.0,5,20.949792
502.0,200,21.140264
164.0,40,21.178463
224.0,75,21.248837
2.0,24,21.271888
-8.0,2,21.272888
-1.0,2,21.275406
369.0,99,21.369902
220.0,97,21.461262
561.0,200,21.649492
608.0,200,21.835849
79.0,31,21.863069
-10.0,8,21.871624
3.0,4,21.875131
-5.0,14,21.888676
-12.0,4,21.891676
-21.0,5,21.896193
1.0,4,21.901201
0.0,1,21.902201
-9.0,3,21.90471
9.0,8,21.911321
5.0,5,21.916879
14.0,9,21.924424
-2.0,1,21.925477
656.0,200,24.951779
22.0,17,24.978364
826.0,200,25.217344
-2.0,1,25.219343
17.0,9,25.228931
35.0,34,25.267761
141.0,35,25.306993
-7.0,13,25.322181
595.0,147,25.48296
668.0,200,25.687426
575.0,192,25.880517
720.0,200,26.071754
498.0,177,26.237002
371.0,88,26.319864
354.0,97,26.410716
-9.0,4,26.415244
27.0,13,26.427781
241.0,72,26.493177
753.0,200,26.730993
595.0,200,26.937937
