#{"t_start": 1775123659.6088326, "env_id": "None"}
r,l,t
-6.0,22,0.041625
110.0,28,0.082983
56.0,27,0.117159
-1.0,8,0.129691
3.0,9,0.144775
-15.0,1,0.146775
-1.0,8,0.158299
18.0,20,0.181838
-8.0,3,0.186363
83.0,29,0.217947
112.0,57,0.277796
99.0,60,0.338814
-9.0,9,0.349401
-15.0,1,0.351366
9.0,7,0.358915
-15.0,1,0.359915
-6.0,6,0.367473
-8.0,5,0.372049
11.0,7,0.379084
9.0,20,0.399802
1.0,17,0.41986
33.0,23,0.444452
-9.0,1,0.445452
320.0,200,0.650362
95.0,25,0.676104
6.0,26,0.70218
58.0,70,0.769819
-5.0,7,0.777408
344.0,200,0.98215
14.0,26,1.009474
10.0,13,1.022279
4.0,4,1.026282
125.0,64,1.087275
1.0,2,1.089241
358.0,198,2.516633
-1.0,22,2.541385
2.0,24,2.568571
169.0,57,2.632717
95.0,36,2.673607
36.0,11,2.687369
-3.0,23,2.711555
-9.0,13,2.725725
-14.0,4,2.729688
30.0,16,2.746861
-4.0,3,2.749835
15.0,14,2.764013
362.0,200,2.967528
16.0,8,2.976072
2.0,15,2.99125
350.0,200,3.18468
-9.0,27,3.211577
-3.0,5,3.216595
-11.0,3,3.219593
-17.0,7,3.227119
4.0,6,3.232651
-4.0,7,3.239649
302.0,164,4.608382
-9.0,1,4.609382
-17.0,8,4.623534
-15.0,1,4.625534
172.0,50,4.705361
4.0,7,4.714892
42.0,35,4.773741
-9.0,1,4.775737
26.0,25,4.806885
420.0,194,5.026878
-9.0,1,5.028878
172.0,66,5.099125
-25.0,11,5.109654
202.0,110,5.223675
3.0,5,5.229702
80.0,43,5.27257
-14.0,8,5.280595
-5.0,3,5.284152
14.0,12,5.296272
286.0,138,5.429643
-14.0,2,5.433164
522.0,200,5.622721
-12.0,2,5.624752
107.0,40,5.66199
-12.0,2,5.66403
-14.0,6,5.670025
55.0,23,5.691953
-14.0,3,5.694996
3.0,11,6.914717
51.0,34,6.965477
-16.0,5,6.974091
108.0,52,7.052233
40.0,36,7.1086
2.0,9,7.119154
112.0,54,7.181772
-7.0,4,7.186808
79.0,13,7.201525
0.0,1,7.202543
-13.0,5,7.208569
395.0,168,7.38995
8.0,8,7.398504
112.0,40,7.440426
-9.0,1,7.441976
-17.0,5,7.447984
-15.0,5,7.4536
11.0,8,7.461568
-12.0,8,7.469723
12.0,6,7.475311
160.0,68,7.544849
536.0,200,7.741276
0.0,17,7.757866
-9.0,2,7.759888
185.0,65,7.821401
133.0,48,7.869247
23.0,16,7.885375
-8.0,5,7.889919
225.0,65,7.952806
221.0,55,8.002863
7.0,6,8.008895
