#{"t_start": 1775120945.854795, "env_id": "None"}
r,l,t
-2.0,10,0.012543
322.0,200,0.203485
-13.0,6,0.210041
159.0,86,0.32489
-9.0,1,0.32489
4.0,20,0.354461
-21.0,7,0.367978
102.0,41,0.435314
12.0,19,0.466902
13.0,4,0.471905
2.0,3,0.47747
-18.0,2,0.478442
101.0,33,0.522671
-17.0,5,0.530206
5.0,14,0.548357
-8.0,2,0.553829
6.0,19,0.575971
-31.0,12,0.591085
253.0,155,0.81793
-2.0,9,0.828458
-8.0,8,0.838989
121.0,68,0.932303
-2.0,1,0.937843
100.0,19,0.957894
-12.0,2,0.961892
17.0,6,0.969421
-11.0,10,0.990978
232.0,200,1.269499
-7.0,16,1.28771
-11.0,15,1.305351
179.0,44,1.367709
122.0,40,1.42187
141.0,42,1.486664
-5.0,9,1.499884
-11.0,3,1.504437
-14.0,17,1.520972
-13.0,1,1.525479
-12.0,5,1.531524
381.0,200,1.793598
-9.0,2,1.794614
7.0,5,1.806138
-11.0,3,1.808136
115.0,55,1.891908
207.0,75,1.9843
438.0,200,2.292201
20.0,10,2.306376
403.0,200,2.56494
-13.0,3,2.568947
369.0,200,2.829105
-22.0,4,2.836617
124.0,50,2.916959
46.0,19,2.942007
2.0,4,2.946533
11.0,15,2.965584
92.0,34,3.021778
434.0,172,3.266572
-25.0,3,3.268573
-13.0,11,3.288598
-13.0,1,3.289595
505.0,200,3.580418
272.0,69,3.689269
-15.0,1,3.689269
59.0,31,3.73675
205.0,56,3.821704
453.0,179,4.141838
50.0,20,4.176965
159.0,49,4.273836
245.0,83,4.395706
-5.0,18,4.433775
126.0,44,4.508214
-7.0,2,4.509217
-14.0,4,4.513729
518.0,200,4.781921
-7.0,1,4.788457
16.0,5,4.793966
-10.0,2,4.79498
261.0,89,4.935924
-4.0,7,4.943503
-4.0,4,4.94855
-15.0,1,4.95355
-3.0,4,4.95914
-15.0,1,4.96014
36.0,5,4.965703
364.0,117,5.11816
-3.0,2,5.124716
254.0,75,5.248225
-15.0,1,5.250234
1.0,2,5.251233
-17.0,3,5.258766
65.0,26,5.320004
62.0,26,5.367621
218.0,53,5.467868
-7.0,1,5.474465
72.0,17,5.498556
-19.0,9,5.509113
0.0,1,5.510114
228.0,87,5.643904
276.0,88,5.783553
287.0,71,5.901845
-13.0,1,5.903363
279.0,56,6.003768
359.0,84,6.154166
504.0,155,6.411692
-8.0,5,6.419226
543.0,200,6.72539
-20.0,5,6.732391
-15.0,3,6.73896
6.0,4,6.746523
703.0,200,7.078084
166.0,44,7.145549
698.0,200,7.478923
689.0,200,7.813447
-2.0,11,7.837027
286.0,68,7.949357
1.0,4,7.956946
348.0,83,8.082078
235.0,58,8.172486
277.0,65,8.273494
435.0,93,8.433568
441.0,92,8.583825
76.0,24,8.632646
305.0,87,8.777871
318.0,91,8.927027
50.0,18,8.952129
23.0,17,8.977695
122.0,30,9.026462
431.0,88,9.273342
705.0,149,9.595554
291.0,63,9.712603
815.0,199,10.053662
454.0,107,10.242634
890.0,200,10.574804
22.0,23,10.616923
870.0,200,10.964783
12.0,4,10.971828
-13.0,1,10.971828
30.0,9,10.986006
-11.0,3,10.991012
-11.0,6,10.996597
1.0,5,11.006444
530.0,109,11.203523
3.0,8,11.214044
2.0,8,11.229692
-10.0,2,11.230692
84.0,18,11.270892
-8.0,10,11.283962
-15.0,1,11.287982
390.0,81,11.419162
905.0,190,11.714285
390.0,86,11.861619
-15.0,1,11.862619
103.0,22,11.896887
185.0,47,11.968427
1065.0,200,12.319175
900.0,185,12.650165
1043.0,200,12.971933
1092.0,200,13.32348
573.0,122,13.540986
1140.0,193,13.888395
1025.0,200,14.237723
1033.0,200,14.578798
-11.0,3,14.585
37.0,14,14.611648
1131.0,199,15.042449
-9.0,5,15.05663
1103.0,200,15.404034
1148.0,200,15.78417
57.0,12,15.802371
1214.0,200,16.1281
438.0,82,16.281721
620.0,115,16.495635
11.0,10,16.50971
378.0,70,16.625852
3.0,20,16.657515
21.0,22,16.697731
1138.0,200,17.072555
-2.0,1,17.078143
-5.0,2,17.081109
1049.0,174,17.411883
880.0,154,17.676229
1200.0,200,18.025353
1147.0,200,18.415705
626.0,107,18.602329
1203.0,200,18.96914
304.0,55,19.063991
458.0,82,19.200145
801.0,130,19.439255
-10.0,1,19.440256
-10.0,8,19.457365
-7.0,1,19.458368
107.0,19,19.494625
1199.0,200,19.832159
1143.0,200,20.232598
-15.0,1,20.234104
24.0,12,20.261177
6.0,2,20.265717
1143.0,200,20.630523
1.0,7,20.642147
10.0,3,20.650738
22.0,30,20.714231
12.0,15,20.744835
668.0,122,20.949811
1130.0,200,21.303418
1203.0,200,21.66864
1124.0,200,22.044913
1180.0,200,22.414165
243.0,51,22.509236
-10.0,1,22.510244
750.0,128,22.731641
429.0,77,22.878564
-9.0,18,22.904128
-10.0,6,22.915347
-10.0,1,22.916348
-9.0,3,22.923835
1171.0,200,23.302664
393.0,66,23.424804
1180.0,200,23.784824
777.0,138,24.018098
-10.0,11,24.036148
1232.0,200,24.40834
1187.0,200,24.746889
498.0,89,24.916116
973.0,164,25.233546
-7.0,1,25.234069
4.0,3,25.240079
-5.0,2,25.245609
576.0,92,25.425372
430.0,72,25.579106
10.0,2,25.582104
32.0,24,25.627827
-15.0,1,25.62883
-5.0,2,25.633828
-10.0,2,25.635347
-7.0,6,25.647887
171.0,45,25.729722
22.0,13,25.749876
835.0,151,26.024986
1194.0,200,26.40866
1167.0,200,26.763811
-12.0,3,26.772411
-10.0,2,26.774964
173.0,35,26.849476
1.0,4,26.856005
1138.0,200,27.228631
1159.0,200,27.56557
41.0,18,27.606518
-14.0,8,27.623632
41.0,19,27.653498
1127.0,200,28.028891
3.0,8,28.04344
1090.0,200,28.407313
1113.0,200,28.759927
215.0,40,28.836746
783.0,131,29.069208
39.0,10,29.091239
1172.0,200,29.472436
1096.0,188,29.800585
1040.0,184,30.125654
-10.0,7,30.135148
63.0,11,30.159226
-7.0,1,30.160192
1116.0,200,30.520444
-2.0,1,30.526971
1131.0,200,30.951075
1231.0,200,31.372358
-10.0,16,31.400931
-10.0,9,31.42002
-2.0,1,31.421017
1129.0,200,31.809076
-15.0,20,31.850891
1118.0,200,32.22064
231.0,41,32.288321
270.0,52,32.372663
1121.0,200,32.71513
1211.0,200,33.04908
15.0,5,33.065012
1132.0,200,33.412034
1132.0,200,33.742329
1170.0,200,34.111892
44.0,29,34.16773
1167.0,200,34.546067
9.0,3,34.553576
1187.0,200,34.90494
1148.0,200,35.284313
1248.0,200,35.731675
-10.0,1,35.733683
-14.0,3,35.741941
545.0,93,35.955478
1133.0,200,36.458086
1179.0,200,36.912289
1233.0,200,37.345152
53.0,58,37.488
1147.0,200,37.953782
848.0,141,38.289609
205.0,44,38.377677
6.0,6,38.386173
451.0,78,38.571875
0.0,3,38.576431
16.0,8,38.595496
25.0,10,38.615545
26.0,6,38.623571
26.0,8,38.6411
13.0,4,38.651616
-15.0,1,38.658142
1.0,2,38.66014
50.0,23,38.711784
10.0,4,38.720809
-15.0,1,38.721808
-4.0,3,38.730341
-6.0,5,38.73786
-8.0,3,38.74539
56.0,20,38.788633
-8.0,2,38.791629
356.0,57,38.933551
-12.0,2,38.935567
1204.0,200,39.337703
13.0,3,39.345241
1164.0,200,39.787805
776.0,137,40.066401
1203.0,200,40.468415
575.0,107,40.66732
1165.0,200,41.028207
1168.0,200,41.387629
1107.0,200,41.821694
-7.0,1,41.82269
1210.0,199,42.192261
1190.0,200,42.547155
391.0,71,42.659633
1198.0,200,43.047765
54.0,25,43.087443
648.0,110,43.2921
-5.0,2,43.298625
1162.0,200,43.64715
-5.0,12,43.672196
1201.0,200,44.008972
-2.0,3,44.014494
21.0,4,44.02259
4.0,11,44.042638
-15.0,3,44.048172
1102.0,200,44.41156
1140.0,200,44.770197
34.0,8,44.783737
8.0,6,44.795896
12.0,6,44.80747
1210.0,200,45.189636
1140.0,200,45.553547
1158.0,200,45.881769
1158.0,200,46.252633
17.0,8,46.270844
1209.0,200,46.618397
8.0,2,46.621905
117.0,21,46.660195
792.0,143,46.940343
10.0,4,46.948907
1103.0,192,47.356236
1119.0,200,47.704415
602.0,102,47.892138
8.0,2,47.897677
11.0,5,47.904788
1193.0,200,48.24757
39.0,25,48.292317
1152.0,200,48.633734
21.0,4,48.639794
1136.0,200,48.980858
290.0,56,49.083662
1172.0,200,49.431569
1.0,2,49.436101
927.0,173,49.749999
1.0,2,49.751998
31.0,7,49.768146
79.0,18,49.808222
156.0,34,49.871109
-4.0,3,49.876642
10.0,2,49.878641
-18.0,2,49.882675
33.0,7,49.894754
49.0,11,49.910292
0.0,1,49.915824
-6.0,3,49.918823
6.0,6,49.933848
0.0,1,49.935372
0.0,3,49.943403
304.0,49,50.033373
32.0,17,50.063427
278.0,50,50.163653
-9.0,1,50.164158
490.0,81,50.291677
589.0,101,50.476896
1136.0,200,50.828278
1144.0,200,51.213775
857.0,152,51.466245
-2.0,1,51.468245
536.0,101,51.64067
128.0,21,51.678795
1235.0,200,52.04564
1147.0,200,52.460502
661.0,115,52.694828
765.0,134,52.933558
291.0,52,53.018891
1186.0,200,53.37901
-2.0,1,53.380011
1147.0,200,53.748339
15.0,16,53.778043
544.0,99,53.959769
259.0,43,54.034713
1051.0,191,54.407912
1174.0,200,54.776594
225.0,39,54.864119
355.0,60,54.975926
1103.0,200,55.342833
1176.0,200,55.773452
1129.0,199,56.174335
1162.0,200,56.583905
502.0,90,56.731681
4.0,3,56.738168
1087.0,200,57.110479
472.0,79,57.252288
1191.0,200,57.745362
1125.0,191,58.308918
-9.0,3,58.325001
136.0,28,58.415417
464.0,85,58.700295
596.0,108,59.009782
1149.0,200,59.475527
-2.0,1,59.482521
-15.0,1,59.482521
42.0,21,59.520642
1073.0,200,59.899057
630.0,111,60.104451
1197.0,200,60.460105
-15.0,2,60.462108
290.0,54,60.551527
1139.0,200,60.91912
1109.0,200,61.25753
1194.0,200,61.601268
1184.0,200,61.950442
1.0,4,61.957983
25.0,6,61.96551
24.0,5,61.977036
1125.0,200,62.342016
23.0,7,62.35153
1136.0,200,62.73249
528.0,99,62.904059
593.0,96,63.113698
598.0,108,63.343402
1054.0,184,63.695752
472.0,74,63.832417
1122.0,200,64.202308
114.0,21,64.230985
598.0,112,64.429044
11.0,18,64.458172
16.0,11,64.485761
1215.0,200,64.828348
-2.0,1,64.829349
13.0,5,64.838954
580.0,91,64.982851
508.0,85,65.147126
-3.0,10,65.16066
-13.0,1,65.16066
1066.0,183,65.50821
1101.0,200,65.90826
1126.0,200,66.283631
4.0,5,66.292691
1179.0,200,66.646641
-2.0,1,66.651641
65.0,33,66.704866
1144.0,200,67.051821
1172.0,200,67.418919
291.0,57,67.52995
-7.0,2,67.537124
1.0,4,67.545717
260.0,52,67.639914
458.0,81,67.783635
413.0,72,67.892715
3.0,2,67.894225
41.0,10,67.911779
5.0,8,67.923882
1209.0,200,68.325773
648.0,105,68.553374
1112.0,200,68.949651
1115.0,200,69.310959
249.0,46,69.386162
-12.0,2,69.388161
802.0,138,69.66875
1120.0,200,70.031364
1138.0,200,70.348802
2.0,3,70.350802
1172.0,200,70.687027
1185.0,200,71.042128
634.0,114,71.237837
765.0,138,71.477347
290.0,52,71.579444
108.0,34,71.638681
1145.0,200,71.988193
-7.0,3,71.99576
1096.0,190,72.331741
307.0,53,72.426429
850.0,154,72.690845
-6.0,4,72.698375
32.0,28,72.743533
841.0,149,73.031838
1163.0,200,73.390963
14.0,10,73.414578
1198.0,200,73.821554
76.0,19,73.857221
3.0,2,73.86374
22.0,5,73.874276
51.0,15,73.913413
39.0,11,73.94352
-5.0,2,73.94654
0.0,1,73.94754
11.0,6,73.963567
3.0,3,73.969588
25.0,12,73.99062
92.0,36,74.064346
1195.0,200,74.437896
1251.0,200,74.796952
-7.0,2,74.79795
27.0,6,74.811513
1145.0,200,75.159534
1136.0,200,75.532125
1170.0,200,75.902213
1179.0,200,76.242873
1148.0,200,76.585967
335.0,56,76.677501
-3.0,7,76.689093
-3.0,7,76.699625
824.0,144,76.945645
