#{"t_start": 1775123909.9968598, "env_id": "None"}
r,l,t
1004.0,200,29.314379
1076.0,200,29.592573
530.0,101,29.708409
-5.0,12,29.721921
994.0,200,29.938062
589.0,112,30.055194
446.0,85,30.143359
-1.0,2,30.146368
-10.0,1,30.147368
1021.0,200,30.379851
980.0,200,30.586277
1004.0,200,30.784828
934.0,181,31.103697
-10.0,1,31.105214
1084.0,200,35.278619
1094.0,200,35.657411
1106.0,200,35.972039
980.0,200,36.236056
777.0,137,36.434508
2.0,11,36.448056
1034.0,191,36.708828
1113.0,200,36.935923
1079.0,200,37.161175
1032.0,200,37.387827
-9.0,3,37.390827
1041.0,200,37.59279
260.0,53,37.661736
-13.0,1,37.662769
235.0,45,37.720088
647.0,120,40.596718
1155.0,200,40.84721
294.0,57,40.91222
57.0,13,40.927408
1124.0,200,41.135091
1180.0,200,41.33501
-9.0,5,41.340044
1055.0,200,41.538971
198.0,39,41.585234
823.0,150,41.758599
93.0,20,41.783709
1040.0,200,41.994747
-15.0,1,41.995794
-2.0,1,41.996795
575.0,102,42.103572
0.0,20,42.123634
441.0,79,42.203402
5.0,21,42.224467
1071.0,200,42.414824
1162.0,200,42.600614
-7.0,9,42.609231
29.0,8,42.61679
9.0,3,42.619757
1180.0,200,45.38002
56.0,11,45.392529
-7.0,1,45.394045
1165.0,200,45.614692
1151.0,200,45.823931
990.0,182,46.003785
-13.0,2,46.00634
-7.0,1,46.007345
1163.0,200,46.205567
167.0,39,46.242244
-8.0,13,46.255414
648.0,115,46.37095
126.0,28,46.397048
-10.0,6,46.404561
-15.0,1,46.405564
-11.0,12,46.416079
1176.0,200,46.602139
1134.0,200,46.791165
-10.0,3,46.794696
58.0,16,46.810247
-10.0,1,46.811249
-9.0,2,46.813726
547.0,95,46.91208
130.0,31,46.945236
1114.0,200,47.166897
1119.0,200,49.972117
1144.0,200,50.259172
1133.0,200,50.476028
1171.0,200,50.678778
770.0,147,50.823627
277.0,46,50.868551
1139.0,200,51.059008
1019.0,182,51.229338
1140.0,200,51.415554
210.0,40,51.452146
-1.0,18,51.469201
-12.0,6,51.475238
69.0,13,51.487776
1190.0,200,51.67548
1133.0,200,51.864768
-10.0,3,51.867803
1193.0,200,54.755557
1113.0,200,55.020651
1149.0,200,55.236027
1218.0,200,55.436267
-2.0,1,55.438235
523.0,91,55.525512
-7.0,1,55.526514
-10.0,2,55.528507
1313.0,200,55.720726
1165.0,200,55.90912
975.0,168,56.065063
2.0,21,56.085636
1215.0,200,56.273841
344.0,66,56.339028
1148.0,200,56.552528
1.0,2,56.555058
947.0,167,56.736993
1175.0,200,59.628277
-8.0,11,59.640791
1186.0,200,59.867717
1141.0,200,60.086319
974.0,160,60.246847
3.0,18,60.26399
1178.0,200,60.455324
6.0,2,60.457323
1179.0,200,60.643665
-10.0,3,60.646675
-8.0,15,60.661264
1194.0,200,60.848645
1096.0,200,61.041513
457.0,79,61.116669
-9.0,19,61.134743
1178.0,200,61.325426
1051.0,174,61.497793
-9.0,8,61.50629
1211.0,200,64.331177
-9.0,6,64.33871
1134.0,200,64.558964
1104.0,199,64.762544
1228.0,200,64.958472
1100.0,200,65.157335
748.0,134,65.28403
1222.0,200,65.469798
1126.0,200,65.658404
9.0,3,65.661403
1201.0,200,65.854104
-9.0,11,65.864642
1168.0,200,66.050679
1152.0,200,68.840309
1161.0,200,69.097237
1229.0,200,69.315517
671.0,111,69.428111
1209.0,200,69.626984
-9.0,8,69.634532
1206.0,200,69.826503
1197.0,200,70.012169
263.0,51,70.060029
-10.0,1,70.061029
14.0,3,70.063569
1245.0,200,70.259116
1186.0,200,70.444312
1142.0,200,70.633578
-10.0,8,70.641594
-9.0,8,70.649119
1241.0,200,73.523627
76.0,17,73.561248
1231.0,200,73.883911
1275.0,200,74.120431
-9.0,17,74.139584
-7.0,1,74.141585
620.0,110,74.261743
897.0,149,74.420325
805.0,136,74.558181
1120.0,200,74.757928
1152.0,200,74.956589
1165.0,200,75.148266
17.0,4,75.15224
1192.0,200,75.340359
-10.0,17,75.357412
1205.0,200,75.544023
852.0,146,75.678565
4.0,3,75.680565
1150.0,200,78.513908
1173.0,200,78.777328
1161.0,200,79.041693
589.0,107,79.177788
1159.0,200,79.392303
1113.0,188,79.582707
767.0,129,79.706814
1055.0,187,79.884105
1236.0,200,80.07262
458.0,87,80.155022
1148.0,200,80.342807
1131.0,200,82.943841
467.0,79,83.06225
1.0,2,83.065768
954.0,160,83.266241
1250.0,200,83.484846
1197.0,200,83.686693
1234.0,200,83.880195
-14.0,12,83.892245
-10.0,7,83.899776
1157.0,200,84.088987
520.0,80,84.168969
1155.0,200,84.396334
982.0,167,84.564408
-10.0,3,84.567409
-9.0,3,84.570375
668.0,111,84.67698
1102.0,190,84.858865
1192.0,200,85.04621
817.0,139,87.728128
1170.0,200,87.952327
1093.0,200,88.161246
1185.0,200,88.357946
928.0,156,88.509848
1181.0,200,88.698843
1.0,2,88.700841
1185.0,200,88.886585
1156.0,200,89.071843
334.0,53,89.121986
-10.0,4,89.126497
668.0,111,89.230534
1213.0,200,89.416063
1215.0,200,89.632285
1060.0,200,92.761947
3.0,24,92.790068
-10.0,4,92.794625
-4.0,2,92.797626
1175.0,200,93.014498
680.0,109,93.126937
1147.0,200,93.339848
1206.0,200,93.614807
-12.0,31,93.655516
1219.0,200,93.899764
-13.0,8,93.909303
790.0,139,94.062502
-10.0,7,94.070086
1260.0,200,94.277694
1233.0,200,94.475883
1133.0,200,94.667634
939.0,157,97.338608
97.0,19,97.363641
1163.0,200,97.626278
1188.0,200,97.84141
1220.0,200,98.046532
1208.0,200,98.246367
1208.0,200,98.437983
321.0,58,98.492136
1165.0,200,98.680024
12.0,4,98.68357
-10.0,2,98.685617
930.0,154,98.868561
1215.0,200,99.096271
150.0,25,99.130483
1174.0,200,99.375802
1255.0,200,102.590058
1180.0,200,102.874953
972.0,165,103.058748
1163.0,200,103.277771
1141.0,200,103.522832
-15.0,3,103.527372
-9.0,12,103.545434
1262.0,200,103.780828
1198.0,200,103.985095
0.0,13,103.998636
9.0,3,104.001634
159.0,24,104.025211
-9.0,10,104.035749
-18.0,7,104.041749
173.0,32,104.074033
1163.0,200,104.262013
1167.0,200,104.448323
-10.0,11,104.459896
-10.0,1,104.4609
9.0,3,104.463447
-10.0,8,104.470495
1.0,2,104.472494
-9.0,5,104.477082
1.0,11,104.487638
-9.0,7,104.493639
1178.0,200,104.671775
-9.0,16,104.686421
-10.0,7,104.693423
1244.0,200,107.436111
180.0,35,107.475239
149.0,28,107.505362
1193.0,200,107.706218
-17.0,12,107.718813
-2.0,1,107.719812
-10.0,3,107.722811
1215.0,200,107.911752
1159.0,200,108.096781
1113.0,200,108.276667
1236.0,200,108.461526
6.0,2,108.463526
1218.0,200,108.645596
1190.0,200,108.816523
-11.0,18,108.832106
533.0,93,108.912028
1032.0,183,109.076341
-10.0,1,109.077338
642.0,110,109.175664
1171.0,200,111.837681
-10.0,7,111.845201
691.0,114,111.960981
1174.0,200,112.158752
-10.0,7,112.166246
1193.0,200,112.352417
1139.0,186,112.518901
1146.0,200,112.699096
921.0,161,112.83883
1171.0,200,113.011357
597.0,99,113.099049
1174.0,200,113.272481
-10.0,6,113.27801
129.0,23,113.298755
1190.0,200,113.469244
624.0,107,115.813423
1128.0,200,116.061122
1192.0,200,116.293505
1210.0,200,116.487092
337.0,54,116.538325
-10.0,5,116.543835
0.0,14,116.557387
1121.0,191,116.729991
422.0,76,116.797744
9.0,3,116.800744
534.0,87,116.875795
1173.0,200,117.048334
-10.0,3,117.051302
1198.0,196,117.219468
-10.0,20,117.236518
1139.0,200,117.405056
1124.0,193,117.566846
-10.0,2,117.567843
