#{"t_start": 1775121038.5890145, "env_id": "None"}
r,l,t
-2.0,10,0.008019
321.0,200,0.150989
-13.0,5,0.157996
-13.0,1,0.157996
-20.0,5,0.16952
31.0,26,0.204601
-8.0,8,0.217118
18.0,3,0.222641
-2.0,3,0.22864
-3.0,2,0.229639
83.0,30,0.270282
-15.0,1,0.271287
-6.0,7,0.278284
9.0,6,0.285795
23.0,12,0.301847
-7.0,6,0.309356
7.0,18,0.326896
242.0,200,0.61691
23.0,10,0.637179
4.0,4,0.644721
0.0,1,0.645715
-7.0,5,0.653231
0.0,1,0.654238
128.0,46,0.725484
7.0,15,0.747546
116.0,76,0.854384
-19.0,17,0.877453
-8.0,36,0.923126
57.0,46,0.990538
-1.0,2,0.996549
-11.0,9,1.00959
-6.0,13,1.03067
342.0,200,1.328193
210.0,64,1.427056
402.0,183,1.680709
-5.0,6,1.693254
-14.0,2,1.694255
192.0,102,1.859249
43.0,11,1.876801
2.0,15,1.895854
495.0,200,2.199308
4.0,22,2.229399
206.0,50,2.306628
2.0,3,2.31216
2.0,3,2.31716
-5.0,15,2.342277
20.0,7,2.357816
387.0,185,2.689471
-13.0,1,2.693489
202.0,57,2.794325
513.0,200,3.148221
534.0,200,3.493518
7.0,4,3.499519
552.0,200,3.800436
-21.0,7,3.815987
335.0,112,3.999592
305.0,75,4.116104
-1.0,7,4.129668
331.0,79,4.268185
-7.0,5,4.275712
133.0,35,4.33746
-14.0,3,4.343987
-8.0,3,4.344987
-14.0,6,4.360014
33.0,27,4.40013
16.0,11,4.4147
512.0,155,4.672252
27.0,25,4.712396
-7.0,2,4.716397
16.0,12,4.732953
20.0,12,4.748482
711.0,200,5.081121
189.0,54,5.177528
91.0,37,5.236171
286.0,62,5.347502
-13.0,3,5.354025
316.0,68,5.462375
362.0,77,5.602386
165.0,49,5.684183
286.0,66,5.804075
32.0,22,5.830148
-7.0,2,5.835166
407.0,119,6.053983
26.0,8,6.06752
836.0,200,6.417253
16.0,5,6.427327
754.0,200,6.770482
-2.0,5,6.776491
185.0,50,6.847668
254.0,63,6.9465
819.0,200,7.317741
12.0,9,7.332309
-3.0,4,7.338305
-12.0,4,7.342831
238.0,49,7.417499
860.0,200,7.770829
52.0,16,7.807468
11.0,3,7.817006
10.0,4,7.82807
-7.0,14,7.859183
111.0,32,7.926002
889.0,200,8.318451
16.0,26,8.379362
-1.0,2,8.38138
730.0,142,8.69777
-9.0,1,8.699275
-9.0,1,8.699275
261.0,56,8.824874
990.0,200,9.277298
328.0,73,9.42539
440.0,85,9.61475
521.0,106,9.847275
1019.0,200,10.290178
1000.0,197,10.738007
30.0,18,10.781714
-15.0,3,10.787709
1022.0,189,11.213625
3.0,3,11.223162
550.0,98,11.406761
6.0,2,11.413302
-4.0,3,11.415303
311.0,53,11.541041
1107.0,200,11.990386
819.0,151,12.281189
461.0,84,12.488149
1148.0,200,12.959192
-15.0,3,12.969222
449.0,82,13.169635
154.0,29,13.230355
1230.0,200,13.628176
1170.0,200,14.008064
1124.0,200,14.362251
1214.0,200,14.732491
1160.0,200,15.106225
-2.0,1,15.107233
970.0,176,15.415901
0.0,4,15.426971
1166.0,200,15.785625
32.0,19,15.820749
1119.0,200,16.193467
1192.0,200,16.531018
1143.0,200,16.914781
1198.0,200,17.269342
55.0,24,17.307449
1201.0,200,17.657948
1252.0,200,18.032305
402.0,76,18.187903
1162.0,200,18.603042
1202.0,200,18.997938
186.0,130,19.24376
171.0,31,19.302902
14.0,3,19.307902
11.0,3,19.313427
-10.0,3,19.316432
178.0,35,19.375119
1145.0,200,19.755425
26.0,14,19.781021
3.0,9,19.796573
1182.0,200,20.184309
-2.0,1,20.186305
-9.0,6,20.203399
1183.0,200,20.559548
1162.0,200,20.921241
-2.0,1,20.922246
1205.0,200,21.270746
-15.0,1,21.271759
-19.0,3,21.28029
-10.0,3,21.286298
1122.0,196,21.658114
-8.0,8,21.676183
1137.0,200,22.070561
1133.0,200,22.446727
1122.0,200,22.79162
1164.0,200,23.176625
1166.0,200,23.522853
1081.0,200,23.967771
456.0,83,24.134934
1132.0,200,24.496647
-4.0,5,24.50818
575.0,99,24.687763
19.0,13,24.719902
-5.0,2,24.722938
-7.0,1,24.724937
-7.0,1,24.734011
-10.0,2,24.738016
1192.0,200,25.197855
1216.0,200,25.585277
1189.0,200,26.063668
1179.0,200,26.515927
360.0,68,26.655522
-15.0,1,26.656523
1169.0,200,27.036825
1164.0,200,27.444834
1203.0,200,27.805386
117.0,94,27.9668
270.0,46,28.039523
441.0,93,28.221654
870.0,153,28.497399
-10.0,3,28.504936
0.0,1,28.505943
1217.0,200,28.885307
-2.0,1,28.887306
512.0,92,29.103227
1.0,2,29.109749
1133.0,200,29.526353
1024.0,183,29.837353
1139.0,200,30.212478
12.0,4,30.219475
242.0,44,30.306825
-5.0,7,30.319347
852.0,148,30.584044
191.0,41,30.659264
1099.0,200,31.038622
18.0,10,31.056669
1255.0,199,31.431605
11.0,3,31.434604
170.0,33,31.497797
1131.0,200,31.901707
923.0,153,32.173635
1057.0,185,32.501682
-14.0,2,32.507692
1.0,3,32.509209
1166.0,200,32.866822
1183.0,200,33.225444
93.0,60,33.335343
4.0,6,33.3514
1235.0,200,33.725979
1136.0,200,34.09819
116.0,87,34.24819
85.0,22,34.297911
780.0,128,34.601285
3.0,6,34.616817
9.0,5,34.627854
1173.0,200,35.052418
1169.0,200,35.412804
1217.0,200,35.796059
16.0,8,35.807599
198.0,137,36.043857
15.0,7,36.055397
3.0,4,36.062933
7.0,5,36.072475
2.0,3,36.081002
13.0,5,36.091546
1131.0,200,36.461075
1222.0,200,36.802246
1148.0,200,37.130101
6.0,2,37.137123
1017.0,175,37.463191
24.0,9,37.483271
9.0,5,37.493807
-2.0,1,37.494809
273.0,47,37.584094
183.0,31,37.633243
1181.0,200,38.076623
765.0,140,38.333946
1220.0,200,38.709612
295.0,51,38.814505
1.0,4,38.820005
71.0,13,38.843592
165.0,28,38.894227
689.0,123,39.116704
841.0,136,39.366475
42.0,18,39.402604
109.0,62,39.496828
518.0,95,39.706135
795.0,142,40.041384
1201.0,200,40.46092
1162.0,200,40.820518
275.0,57,40.93048
1170.0,200,41.305613
1188.0,200,41.66926
1140.0,200,42.023437
49.0,13,42.044036
1223.0,200,42.395211
1194.0,200,42.784093
109.0,23,42.836303
-2.0,1,42.838303
581.0,99,43.033961
1103.0,200,43.421234
30.0,12,43.44382
-9.0,3,43.450342
32.0,23,43.483961
-7.0,1,43.487961
379.0,68,43.59827
22.0,6,43.60679
23.0,6,43.61731
1072.0,200,44.007812
1153.0,200,44.361947
50.0,12,44.382021
199.0,132,44.611186
1306.0,200,45.010496
38.0,14,45.04165
39.0,10,45.067742
-9.0,3,45.07027
52.0,21,45.128514
-7.0,3,45.131041
-1.0,4,45.139569
290.0,57,45.280628
1209.0,200,45.661912
851.0,146,45.937828
16.0,3,45.944357
685.0,124,46.16969
-7.0,1,46.170699
-12.0,2,46.17571
-5.0,2,46.17671
619.0,101,46.346404
71.0,29,46.405611
411.0,68,46.538641
-2.0,1,46.540149
1.0,2,46.541168
1042.0,168,46.863711
-8.0,2,46.870228
1218.0,200,47.224889
1162.0,200,47.565516
238.0,40,47.640293
22.0,13,47.657815
46.0,15,47.689918
1099.0,200,48.035883
1166.0,200,48.392095
1167.0,200,48.73004
1179.0,200,49.099227
998.0,169,49.393574
434.0,75,49.52498
509.0,84,49.66533
1164.0,200,50.047013
864.0,156,50.339457
6.0,7,50.358005
1175.0,200,50.805709
1167.0,200,51.17973
-9.0,1,51.180733
1134.0,200,51.525284
36.0,10,51.545866
1133.0,200,51.914835
147.0,26,51.970582
88.0,43,52.05543
859.0,150,52.330715
299.0,58,52.442133
101.0,42,52.513872
98.0,32,52.573664
24.0,7,52.588181
1139.0,200,52.931436
1053.0,174,53.24398
204.0,116,53.475268
-9.0,3,53.482809
709.0,126,53.73287
39.0,9,53.750941
236.0,40,53.82162
767.0,130,54.046766
21.0,8,54.059819
1020.0,173,54.39299
219.0,38,54.464286
414.0,76,54.604279
751.0,131,54.84556
499.0,84,55.021725
1096.0,200,55.382771
-2.0,1,55.38377
144.0,86,55.540343
1176.0,200,55.98385
58.0,20,56.034089
-8.0,2,56.036091
446.0,77,56.169995
38.0,14,56.201602
490.0,85,56.374734
-1.0,6,56.389276
847.0,154,56.696333
-3.0,4,56.705867
106.0,35,56.782669
1190.0,200,57.169461
75.0,24,57.227705
1221.0,200,57.626555
570.0,97,57.821868
1137.0,200,58.205094
49.0,14,58.229665
-7.0,5,58.237189
-3.0,4,58.243713
89.0,29,58.29635
12.0,5,58.306886
20.0,6,58.319414
84.0,13,58.339484
1.0,2,58.347513
115.0,24,58.401711
1159.0,200,58.790653
117.0,30,58.851409
1125.0,200,59.210097
16.0,7,59.22164
1190.0,200,59.559636
577.0,101,59.746931
927.0,162,60.027152
1176.0,200,60.398201
210.0,43,60.47498
231.0,46,60.554682
68.0,15,60.585294
442.0,86,60.750403
1209.0,200,61.145247
1187.0,200,61.57425
11.0,10,61.591285
1162.0,200,61.947953
-1.0,4,61.955481
46.0,11,61.972536
-8.0,2,61.977536
-1.0,6,61.986064
1126.0,200,62.387491
541.0,95,62.571339
742.0,132,62.836883
147.0,31,62.8941
931.0,158,63.194041
92.0,21,63.244252
42.0,11,63.259277
789.0,126,63.489583
1180.0,200,63.877934
1.0,8,63.889958
179.0,33,63.938623
-2.0,1,63.940134
1169.0,200,64.332016
-14.0,2,64.338017
389.0,73,64.471925
1204.0,200,64.815473
-2.0,1,64.816475
1173.0,200,65.165111
1136.0,200,65.595622
5.0,6,65.617706
-7.0,1,65.617706
347.0,67,65.935392
492.0,82,66.225
143.0,27,66.348637
17.0,9,66.382787
168.0,28,66.50583
1.0,2,66.526414
1209.0,200,67.250734
51.0,18,67.299453
1.0,2,67.308491
353.0,58,67.46537
1163.0,200,67.963219
110.0,37,68.046066
-6.0,4,68.055601
1161.0,200,68.453107
13.0,5,68.461621
177.0,36,68.541062
1194.0,200,68.922728
1112.0,200,69.293332
306.0,59,69.407701
112.0,23,69.446331
270.0,55,69.541214
482.0,93,69.699232
483.0,81,69.869424
6.0,2,69.870436
1143.0,200,70.235657
1155.0,200,70.585577
473.0,94,70.758704
8.0,17,70.794859
125.0,20,70.834517
549.0,91,71.019871
892.0,155,71.305218
43.0,20,71.350446
-9.0,3,71.35746
134.0,28,71.405143
665.0,119,71.61537
1113.0,200,72.020314
-14.0,2,72.022331
99.0,18,72.062982
40.0,8,72.082058
643.0,106,72.27819
565.0,106,72.479377
-7.0,4,72.48539
690.0,104,72.687861
764.0,119,72.913154
35.0,9,72.927185
562.0,99,73.097642
748.0,123,73.32814
603.0,104,73.537391
19.0,5,73.546928
1227.0,200,74.001317
207.0,33,74.072569
-5.0,7,74.092649
-14.0,2,74.094645
47.0,15,74.13518
4.0,4,74.14573
18.0,6,74.15926
572.0,92,74.373797
176.0,34,74.466231
87.0,25,74.513906
765.0,139,74.826457
509.0,91,75.036579
313.0,59,75.15937
230.0,37,75.2692
52.0,11,75.29154
223.0,38,75.392393
314.0,53,75.532465
1159.0,200,76.002145
4.0,3,76.010678
118.0,21,76.06741
613.0,105,76.280972
1246.0,200,76.738467
71.0,37,76.840302
27.0,10,76.86138
2.0,5,76.872939
-2.0,1,76.877939
78.0,27,76.925145
1156.0,200,77.42404
66.0,14,77.465718
391.0,68,77.654712
326.0,60,77.773596
21.0,13,77.795647
1.0,2,77.80117
54.0,10,77.816725
476.0,82,77.98785
