#{"t_start": 1775121529.4858098, "env_id": "None"}
r,l,t
-2.0,10,0.00761
325.0,200,0.14935
1.0,14,0.161881
4.0,8,0.169411
-18.0,2,0.173931
-16.0,11,0.185456
-13.0,1,0.186456
0.0,1,0.186456
39.0,14,0.204505
150.0,62,0.277711
-11.0,3,0.283206
-6.0,8,0.295753
-5.0,15,0.319782
136.0,122,0.493325
-10.0,1,0.49433
-12.0,11,0.511848
8.0,6,0.525909
172.0,57,0.595758
-18.0,2,0.595758
170.0,41,0.64437
61.0,49,0.698557
61.0,45,0.765804
126.0,29,0.809911
250.0,200,1.096651
-16.0,2,1.103165
-2.0,1,1.103165
3.0,7,1.116726
4.0,10,1.130259
46.0,26,1.176409
-13.0,3,1.181412
4.0,19,1.20498
224.0,71,1.31727
294.0,166,1.537807
241.0,162,1.749829
20.0,29,1.787442
-14.0,3,1.793964
10.0,26,1.834091
158.0,51,1.898777
102.0,30,1.937888
2.0,14,1.953937
-9.0,4,1.96094
-2.0,1,1.967457
25.0,22,1.999027
91.0,36,2.05316
332.0,200,2.357606
6.0,14,2.385164
7.0,5,2.391162
396.0,200,2.676489
125.0,35,2.732092
-5.0,6,2.739608
-14.0,4,2.747157
-10.0,1,2.748157
15.0,7,2.762193
3.0,4,2.768734
-3.0,4,2.775275
337.0,163,2.993307
-10.0,4,3.00031
-6.0,2,3.001311
-9.0,19,3.031883
165.0,81,3.159703
1.0,3,3.164221
-13.0,1,3.164221
-11.0,8,3.17773
19.0,9,3.192784
6.0,2,3.192784
85.0,57,3.266973
-9.0,2,3.270974
-15.0,1,3.270974
24.0,28,3.304078
387.0,200,3.601935
-12.0,2,3.607455
48.0,24,3.644578
169.0,47,3.708264
15.0,6,3.71679
280.0,122,3.878334
-5.0,2,3.883848
150.0,43,3.946983
11.0,7,3.951983
135.0,37,4.005699
2.0,8,4.015229
1.0,3,4.01723
129.0,50,4.094987
315.0,164,4.362755
-3.0,12,4.387857
519.0,189,4.791303
30.0,16,4.83049
393.0,200,5.300632
-5.0,6,5.316658
4.0,19,5.34525
-14.0,2,5.351249
155.0,54,5.446079
1.0,4,5.451073
21.0,15,5.471654
23.0,13,5.487704
404.0,200,5.793147
-9.0,1,5.797172
171.0,68,5.914955
111.0,60,6.003202
-16.0,2,6.005224
240.0,76,6.144258
501.0,197,6.49603
201.0,48,6.586389
467.0,200,6.980479
124.0,36,7.037667
-11.0,6,7.049183
6.0,4,7.055709
-18.0,8,7.065752
157.0,36,7.126956
1.0,2,7.128957
17.0,6,7.144032
1.0,2,7.145033
151.0,36,7.201214
0.0,5,7.210735
-12.0,5,7.219278
0.0,3,7.225815
423.0,188,7.506069
4.0,6,7.512069
530.0,200,7.826598
0.0,5,7.833102
-18.0,2,7.840122
-15.0,1,7.842121
20.0,7,7.855171
3.0,4,7.8632
6.0,2,7.86421
545.0,200,8.133256
7.0,7,8.141264
109.0,34,8.186414
29.0,6,8.191414
52.0,29,8.239038
8.0,8,8.253087
546.0,200,8.558359
-15.0,1,8.56187
5.0,3,8.563376
-10.0,5,8.572901
49.0,15,8.590429
-15.0,1,8.594948
-1.0,6,8.599953
381.0,146,8.804109
-3.0,4,8.812118
4.0,6,8.820636
16.0,8,8.836689
15.0,9,8.848216
350.0,122,9.022742
-8.0,3,9.027272
-9.0,1,9.028273
14.0,12,9.048324
-13.0,1,9.048324
6.0,4,9.053843
-13.0,3,9.058852
327.0,102,9.198288
73.0,25,9.244899
82.0,21,9.270477
-5.0,4,9.276998
15.0,10,9.289537
24.0,15,9.320105
105.0,37,9.384311
369.0,112,9.56676
12.0,17,9.591831
-1.0,2,9.592832
2.0,3,9.597351
-13.0,8,9.607867
582.0,188,9.903837
-9.0,2,9.903837
33.0,25,9.949936
-9.0,1,9.950935
139.0,37,10.001583
144.0,46,10.081802
222.0,89,10.207982
-16.0,2,10.20898
197.0,57,10.316361
137.0,35,10.379066
-21.0,11,10.403666
195.0,69,10.523595
-5.0,4,10.535186
212.0,49,10.650304
-15.0,2,10.652808
50.0,19,10.693473
197.0,52,10.794816
8.0,6,10.802823
-9.0,1,10.808351
-21.0,4,10.818889
9.0,13,10.846503
656.0,200,11.222904
