#{"t_start": 1775121334.7155747, "env_id": "None"}
r,l,t
-2.0,10,0.008618
325.0,200,0.151489
14.0,37,0.198102
21.0,12,0.213146
-5.0,5,0.218153
105.0,33,0.262261
-11.0,11,0.270789
24.0,8,0.279323
-18.0,8,0.290846
-11.0,3,0.296369
-8.0,2,0.300367
19.0,4,0.304886
-6.0,15,0.320416
82.0,27,0.361508
1.0,8,0.375087
5.0,9,0.388643
-18.0,2,0.39315
112.0,28,0.423201
121.0,37,0.47332
-5.0,23,0.503406
-18.0,2,0.503406
166.0,59,0.580086
126.0,39,0.62869
340.0,200,0.912857
-2.0,5,0.919888
-12.0,6,0.931425
10.0,11,0.941962
339.0,200,1.277974
170.0,63,1.367717
52.0,28,1.407867
-9.0,1,1.407867
51.0,43,1.466029
9.0,17,1.491081
-3.0,6,1.503114
25.0,19,1.537693
121.0,54,1.615918
204.0,110,1.775213
-7.0,3,1.776216
15.0,28,1.822816
194.0,63,1.919118
321.0,186,2.173251
-13.0,1,2.173759
115.0,60,2.255973
7.0,3,2.260979
-14.0,4,2.266487
-18.0,2,2.267487
10.0,2,2.271487
30.0,16,2.294567
-5.0,2,2.295577
136.0,32,2.341686
29.0,9,2.352211
-9.0,4,2.356728
-13.0,3,2.361734
-7.0,4,2.367262
58.0,26,2.399325
2.0,6,2.403846
2.0,5,2.410856
399.0,200,2.69764
-16.0,5,2.709162
-12.0,4,2.713668
-11.0,7,2.719684
-9.0,3,2.724201
-17.0,3,2.73121
-15.0,1,2.732208
-18.0,2,2.738733
153.0,44,2.798434
20.0,22,2.824018
118.0,42,2.888695
-13.0,1,2.889696
307.0,156,3.10325
-17.0,11,3.121792
-19.0,7,3.12831
22.0,15,3.150368
-14.0,4,3.155898
-9.0,1,3.155898
8.0,7,3.164412
1.0,2,3.16942
14.0,19,3.186962
-21.0,14,3.20601
144.0,54,3.274714
-14.0,2,3.280229
2.0,11,3.300284
41.0,20,3.326849
80.0,28,3.361418
9.0,19,3.385495
5.0,4,3.3915
-11.0,5,3.405559
-10.0,2,3.406558
-14.0,3,3.413067
-3.0,3,3.421083
-4.0,3,3.422081
477.0,183,3.684773
-6.0,2,3.689785
17.0,4,3.697302
-15.0,1,3.698302
-3.0,10,3.710826
31.0,12,3.724872
110.0,31,3.771962
1.0,2,3.776494
7.0,21,3.81059
-2.0,1,3.811588
-9.0,1,3.811588
1.0,6,3.823616
416.0,200,4.130601
484.0,200,4.42551
46.0,19,4.456088
210.0,42,4.517721
0.0,8,4.529242
56.0,17,4.558815
1.0,4,4.566332
93.0,31,4.614076
1.0,2,4.620087
24.0,16,4.640131
20.0,9,4.651661
6.0,13,4.66971
168.0,76,4.791763
8.0,10,4.810817
13.0,5,4.817342
